position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance,activeScreen,coin(user),coin(no-user),fever,jump
-0.01713682,0.5993806,27.70399,3,8.379436,0,3.343392,1,72,76,0,0
-0.0158176,0.602796,27.81101,3,8.485238,0,3.343549,1,72,76,0,0
-0.0312179,0.5960647,27.92588,3,8.598495,0,3.342618,1,72,76,0,0
-0.05840899,0.5807908,28.02627,3,8.701546,0,3.341113,1,72,76,0,0
-0.09846766,0.5406502,28.13323,3,8.807966,0,3.338275,1,72,76,0,0
-0.1666404,0.4769008,28.27226,4,8.952718,0,3.333107,1,72,76,0,0
-0.2145081,0.4329243,28.40792,4,9.083625,0,3.32694,1,70,76,0,0
-0.237124,0.4061452,28.50798,4,9.18685,0,3.32252,1,62,76,0,0
-0.2491298,0.3618124,28.63852,5,9.316281,0,3.316107,1,58,76,0,0
-0.2484779,0.3178488,28.74107,5,9.41629,0,3.312183,1,57,76,0,0
-0.2415463,0.2434047,28.91742,6,9.593243,0,3.304192,1,57,76,0,0
-0.2243375,0.2180398,29.04586,6,9.725779,0,3.29592,1,56,76,0,0
-0.2004748,0.2099859,29.18335,6,9.861377,0,3.289813,1,58,76,0,0
-0.1696759,0.2064679,29.28516,6,9.967389,0,3.283773,1,59,76,0,0
-0.08816753,0.1957228,29.43069,6,10.09391,0,3.275319,1,59,76,0,0
-0.03093529,0.2039849,29.53766,6,10.21656,0,3.267176,1,59,76,0,0
0.007563612,0.2122344,29.63882,6,10.31701,0,3.264944,1,59,76,0,0
0.05593019,0.2330201,29.74806,6,10.4235,0,3.256473,1,59,76,0,0
0.1147666,0.2377147,29.91479,6,10.58986,0,3.247247,1,57,76,0,0
0.1642557,0.2434066,30.02524,6,10.69439,0,3.240072,1,56,76,0,0
0.2144818,0.231642,30.12644,6,10.80063,0,3.234161,1,56,76,0,0
0.2587213,0.2147844,30.25369,6,10.92896,0,3.228381,1,56,76,0,0
0.2963076,0.2043711,30.38303,6,11.05471,0,3.222382,1,56,76,0,0
0.3132643,0.1889027,30.48674,6,11.16145,0,3.217727,1,57,76,0,0
0.3260035,0.1767689,30.62861,6,11.30985,0,3.209347,1,59,76,0,0
0.3319998,0.1612411,30.76103,6,11.4393,0,3.201211,1,59,76,0,0
0.3320284,0.1547468,30.88911,6,11.57172,0,3.195282,1,59,76,0,0
0.3300773,0.1476204,31.02885,6,11.70544,0,3.187154,1,59,76,0,0
0.3231525,0.1465147,31.14195,6,11.81295,0,3.179102,1,59,76,0,0
