position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance,activeScreen,coin(user),coin(no-user),fever,jump
-0.2294273,0.4336675,14.00956,1,13.9147,0,3.223222,1,60,76,0,0
-0.2662241,0.3790051,14.13511,2,14.05492,0,3.212466,1,59,76,0,0
-0.2898813,0.3369952,14.24337,2,14.17033,0,3.208051,1,58,76,0,0
-0.3123045,0.314424,14.37708,3,14.31674,0,3.200202,1,59,76,0,0
-0.3292684,0.2898164,14.5252,3,14.44796,0,3.196868,1,58,76,0,0
-0.3344745,0.2705948,14.65446,4,14.5969,0,3.186848,1,59,76,0,0
-0.3427431,0.2666407,14.79289,4,14.72882,0,3.178256,1,58,76,0,0
-0.3512515,0.2813181,14.89754,4,14.82471,0,3.175976,1,58,76,0,0
-0.3795778,0.3075768,15.00676,5,14.93064,0,3.170467,1,57,76,0,0
-0.4073741,0.331037,15.14528,5,15.08012,0,3.162084,1,54,76,0,0
-0.4502635,0.3707974,15.28784,5,15.22216,0,3.154604,1,53,76,0,0
-0.4757347,0.4075962,15.42188,5,15.35655,0,3.149771,1,51,76,0,0
-0.4965306,0.4650631,15.56827,5,15.50168,0,3.14146,1,51,76,0,0
-0.5113298,0.5339704,15.70157,5,15.63942,0,3.136266,1,52,76,0,0
-0.5191386,0.5909606,15.80243,6,15.72787,0,3.131346,1,52,76,0,0
-0.5218616,0.6106918,15.91476,6,15.84273,0,3.1273,1,51,76,0,0
-0.5291924,0.6656398,16.05419,6,15.99434,0,3.116904,1,52,76,0,0
-0.5407135,0.6993309,16.18514,7,16.12004,0,3.111826,1,52,76,0,0
-0.564619,0.758635,16.32572,7,16.256,0,3.105384,1,51,76,0,0
-0.5731215,0.7983523,16.46419,8,16.4011,0,3.096813,1,50,76,0,0
-0.5752177,0.8144937,16.59789,8,16.53709,0,3.090504,1,48,76,0,0
-0.570775,0.8343834,16.70529,8,16.62602,0,3.085322,1,48,76,0,0
-0.5408849,0.8515937,16.8429,8,16.77654,0,3.080351,1,50,76,0,0
-0.494962,0.8557675,16.97242,9,16.91156,0,3.072899,1,52,76,0,0
-0.4537936,0.8587492,17.09853,9,17.03584,0,3.065764,1,52,76,0,0
-0.3833547,0.858817,17.23046,10,17.16959,0,3.060719,1,53,76,0,0
-0.3328733,0.8459243,17.36292,10,17.29629,0,3.053601,1,52,76,0,0
-0.2904891,0.823412,17.50408,10,17.43156,0,3.046213,1,52,76,0,0
-0.2696687,0.8053284,17.64845,11,17.57996,0,3.041136,1,52,76,0,0
-0.2503968,0.7814977,17.75149,11,17.68173,0,3.034068,1,50,76,0,0
-0.2297499,0.750771,17.91104,11,17.85158,0,3.026796,1,49,76,0,0
