position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance
-4.635438,-4.719708,36.63045,1,5.972539,0,5.704564
-4.636899,-4.725965,36.76372,1,6.102546,0,5.691662
-4.634925,-4.728157,36.90335,2,6.246978,0,5.682958
-4.636133,-4.724394,37.00826,2,6.348989,0,5.679834
-4.633595,-4.708013,37.14915,2,6.492817,0,5.666569
-4.621189,-4.688724,37.2905,2,6.63559,0,5.659482
-4.614043,-4.66464,37.41544,2,6.759922,0,5.649425
-4.59914,-4.638571,37.56193,2,6.908574,0,5.639637
-4.586762,-4.606359,37.70735,2,7.045637,0,5.629913
-4.547411,-4.573987,37.85542,2,7.194966,0,5.619881
-4.524744,-4.55562,37.95847,2,7.297537,0,5.612706
-4.442051,-4.5404,38.0639,2,7.39915,0,5.60282
-4.421009,-4.533698,38.20417,2,7.549373,0,5.595683
-4.40328,-4.511137,38.3535,2,7.689618,0,5.585729
-4.394739,-4.477959,38.4583,2,7.797415,0,5.582845
-4.395409,-4.44246,38.57943,3,7.912169,0,5.572802
-4.401148,-4.392754,38.71503,3,8.065993,0,5.562536
-4.399597,-4.371119,38.81663,3,8.157252,0,5.555279
-4.36062,-4.317449,38.97224,4,8.25453,0,5.542475
-4.33516,-4.313089,39.09177,4,8.362916,0,5.535625
-4.298496,-4.303126,39.22546,4,8.553686,0,5.525461
-4.26205,-4.30222,39.35073,4,8.676953,0,5.519649
-4.252278,-4.303784,39.47488,5,8.803748,0,5.508198
-4.248775,-4.311944,39.58731,5,8.926918,0,5.502535
-4.242568,-4.315153,39.71509,5,9.041682,0,5.492453
-4.239663,-4.307932,39.84194,5,9.170829,0,5.488145
-4.22471,-4.293042,39.97009,5,9.297287,0,5.475372
-4.205184,-4.268946,40.11103,6,9.437101,0,5.465476
-4.186825,-4.249895,40.23222,6,9.563548,0,5.458341
-4.168941,-4.237443,40.34851,6,9.679115,0,5.452594
-4.15564,-4.227796,40.47687,6,9.80461,0,5.441206
-4.149624,-4.219392,40.6053,6,9.931564,0,5.435283
-4.123003,-4.213587,40.72918,6,10.06131,0,5.425005
-4.090322,-4.213375,40.85041,6,10.17907,0,5.417842
-4.060556,-4.205612,40.98851,6,10.31474,0,5.410488
-4.044907,-4.195849,41.10663,6,10.44495,0,5.463138
