position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance
-3.448404,-5.266965,17.38905,1,5.879951,0,1.754339
-3.45263,-5.271357,17.49112,1,5.995997,0,1.75802
-3.471488,-5.26962,17.63168,1,6.143434,0,1.760972
-3.483972,-5.261628,17.77412,1,6.280657,0,1.764761
-3.495024,-5.247258,17.91529,1,6.423357,0,1.77282
-3.528676,-5.178073,18.05872,1,6.570799,0,1.7806
-3.577271,-5.100416,18.16055,1,6.658272,0,1.7806
-3.639747,-5.021646,18.26633,1,6.765578,0,1.7806
-3.667019,-4.957859,18.3914,1,6.88371,0,1.7806
-3.653767,-4.903047,18.50779,1,7.004434,0,1.7806
-3.651855,-4.874008,18.62311,1,7.12172,0,1.796187
-3.654843,-4.839194,18.75605,1,7.248254,0,1.798687
-3.655636,-4.82774,18.8627,1,7.366579,0,1.801824
-3.647887,-4.815808,18.98523,2,7.484821,0,1.804743
-3.623469,-4.833437,19.31857,2,7.54133,0,1.819823
-3.622193,-4.833745,19.49749,2,7.874663,0,1.823314
-3.61412,-4.814476,19.66383,2,8.144137,0,1.829142
-3.601405,-4.792037,19.79588,3,8.285761,0,1.834165
-3.570416,-4.754364,19.93135,3,8.416904,0,1.836667
-3.54901,-4.709994,20.08398,4,8.556746,0,1.841394
-3.542911,-4.684859,20.23057,4,8.716508,0,1.846116
-3.531102,-4.669101,20.35931,5,8.843518,0,1.850657
-3.515151,-4.671518,20.49575,5,8.977248,0,1.855875
-3.479779,-4.673928,20.63916,5,9.125443,0,1.860469
-3.447098,-4.672278,20.76948,5,9.256166,0,1.862856
-3.421144,-4.679356,20.9045,5,9.390677,0,1.868446
-3.404269,-4.691728,21.06319,5,9.538535,0,1.873428
-3.394928,-4.681565,21.21274,5,9.696822,0,1.877442
-3.382699,-4.665798,21.33599,6,9.828527,0,1.879778
-3.362179,-4.652047,21.4594,6,9.951713,0,1.884659
-3.320239,-4.619653,21.58046,6,10.0736,0,1.888268
-3.290985,-4.60325,21.68338,6,10.18941,0,1.890851
-3.257571,-4.574965,21.78993,6,10.29247,0,1.89405
-3.239355,-4.537867,21.92637,6,10.41326,0,1.898799
-3.223039,-4.52485,22.03117,6,10.5351,0,1.904021
-3.215208,-4.520926,22.14231,6,10.64093,0,1.905675
-3.188808,-4.51192,22.25813,6,10.75906,0,1.911878
-3.154341,-4.514739,22.36353,7,10.86332,0,1.914941
-3.127731,-4.517035,22.46772,7,10.96696,0,1.918829
-3.103946,-4.532632,22.57351,7,11.07481,0,1.922889
-3.053049,-4.576454,22.68609,7,11.17996,0,1.928459
-2.9981,-4.643024,22.80095,7,11.29907,0,1.931836
-2.974198,-4.678569,22.91907,7,11.41689,0,1.934303
-2.944809,-4.721574,23.02773,7,11.52324,0,1.942101
-2.937687,-4.729242,23.14014,7,11.63848,0,1.946235
-2.944928,-4.729108,23.25571,7,11.63848,0,1.950202
-2.948599,-4.73929,23.37239,7,11.63848,0,1.935402
-2.960515,-4.733262,23.48144,7,11.68933,0,1.939383
-2.967414,-4.734608,23.60328,7,11.81119,0,1.943318
-2.97235,-4.735286,23.72181,7,11.93027,0,1.946546
-2.98933,-4.732461,23.8257,8,12.03743,0,1.951942
-2.99338,-4.734653,23.945,8,12.14971,0,1.955841
-2.996602,-4.722755,24.04893,8,12.26211,0,1.957469
-2.995916,-4.705201,24.16236,8,12.36973,0,1.957469
-2.979219,-4.700746,24.28383,9,12.48663,0,1.957469
-2.945094,-4.691457,24.40067,9,12.60375,0,1.957469
-2.9151,-4.685952,24.51839,9,12.72609,0,1.979593
-2.892731,-4.687499,24.64478,10,12.84634,0,1.984285
-2.850473,-4.690776,24.74921,10,12.96177,0,1.990929
-2.834655,-4.693154,24.85799,10,13.06321,0,1.995737
-2.823171,-4.695873,24.97492,10,13.18306,0,1.999357
-2.814959,-4.690681,25.08199,10,13.28873,0,2.004251
-2.812915,-4.68399,25.18845,10,13.39759,0,2.00877
-2.81477,-4.667896,25.33168,11,13.52723,0,2.00877
-2.818701,-4.657171,25.43392,11,13.64866,0,2.00877
-2.831878,-4.623994,25.54549,11,13.75224,0,2.026234
-2.842838,-4.602195,25.6597,11,13.86911,0,2.030849
-2.867142,-4.568503,25.77015,12,13.97686,0,2.035499
-2.886722,-4.548736,25.87797,12,14.08967,0,2.03881
-2.892114,-4.540238,25.99362,12,14.19843,0,2.043598
-2.896617,-4.524058,26.09916,12,14.31434,0,2.048229
-2.885264,-4.508159,26.2161,12,14.42133,0,2.055152
-2.861564,-4.483973,26.33355,12,14.53649,0,2.059239
-2.843672,-4.466687,26.45279,12,14.65528,0,2.063202
-2.79604,-4.429597,26.56169,13,14.77292,0,2.070065
-2.768595,-4.425419,26.67484,13,14.8825,0,2.074939
-2.745322,-4.423884,26.78695,13,14.99391,0,2.079576
-2.739784,-4.411623,26.89125,13,15.09816,0,2.064304
-2.736717,-4.401216,27.00814,13,15.21641,0,2.07066
-2.736793,-4.364101,27.13549,13,15.34528,0,2.078651
-2.744228,-4.327726,27.2405,13,15.45064,0,2.081375
-2.754438,-4.30723,27.35202,13,15.5663,0,2.087788
-2.789745,-4.270497,27.46058,13,15.66938,0,2.092005
-2.808683,-4.249848,27.56466,13,15.77719,0,2.095826
-2.826425,-4.235847,27.68209,13,15.88862,0,2.100208
-2.843922,-4.231005,27.7833,13,15.996,0,2.104932
-2.861742,-4.229393,27.90183,13,16.10232,0,2.111623
-2.873534,-4.241448,28.0307,13,16.23143,0,2.114759
-2.883777,-4.262547,28.13685,13,16.34668,0,2.119488
-2.889025,-4.277306,28.24512,13,16.45466,0,2.12618
-2.912174,-4.327109,28.36589,13,16.57364,0,2.130462
-2.92131,-4.382265,28.46653,13,16.67854,0,2.134664
-2.925997,-4.426618,28.60997,13,16.82623,0,2.138143
-2.934053,-4.461846,28.72015,13,16.92982,0,2.142637
-2.949947,-4.517807,28.84398,13,17.05051,0,2.148491
-2.937754,-4.534496,28.95129,13,17.16431,0,2.155076
-2.91157,-4.558097,29.06527,13,17.2732,0,2.159355
-2.884808,-4.585108,29.16953,14,17.38207,0,2.162725
-2.831773,-4.626625,29.2768,14,17.48839,0,2.167055
-2.765209,-4.659111,29.38928,15,17.59402,0,2.171563
-2.731646,-4.678938,29.49572,15,17.70759,0,2.176371
-2.6857,-4.71226,29.61324,15,17.82204,0,2.180733
-2.632316,-4.764033,29.72362,16,17.93521,0,2.186519
-2.57649,-4.831147,29.83304,16,18.04439,0,2.193826
-2.54987,-4.872618,29.93783,17,18.14711,0,2.195721
-2.521687,-4.940372,30.05264,17,18.2608,0,2.201872
-2.519979,-4.945821,30.1594,17,18.36681,0,2.203912
-2.493719,-4.989655,30.26292,17,18.47448,0,2.208498
-2.464508,-4.986263,30.38489,17,18.59545,0,2.210537
-2.451476,-4.977955,30.4875,17,18.70308,0,2.214604
-2.451837,-4.970083,30.58901,17,18.80392,0,2.217887
-2.433674,-4.955317,30.70139,17,18.909,0,2.222331
-2.416417,-4.940437,30.80711,17,19.01928,0,2.222331
-2.401485,-4.938155,30.91928,17,19.12761,0,2.222331
-2.332722,-4.923626,31.0265,17,19.23836,0,2.238636
-2.282565,-4.930821,31.14924,17,19.35665,0,2.241816
-2.249657,-4.94387,31.25169,17,19.46336,0,2.24617
-2.229404,-4.946012,31.37012,22,19.57956,0,2.25044
-2.220974,-4.946085,31.48529,27,19.69055,0,2.256785
-2.219418,-4.945001,31.5872,27,19.80035,0,2.258422
-2.223294,-4.944809,31.69574,32,19.90518,0,2.264138
-2.229589,-4.943639,31.80342,37,20.01544,0,2.268488
-2.236852,-4.94332,31.92388,37,20.13027,0,2.27288
-2.241777,-4.933848,32.03714,37,20.24706,0,2.276091
-2.242568,-4.935604,32.1384,37,20.34962,0,2.281906
-2.256072,-4.913049,32.28921,42,20.50183,0,2.284777
-2.257265,-4.904226,32.39757,47,20.60847,0,2.284777
-2.218826,-4.87213,32.5115,52,20.72021,0,2.297196
-2.189663,-4.849943,32.61524,52,20.82507,0,2.30166
-2.157431,-4.82057,32.72774,57,20.93284,0,2.306382
-2.070506,-4.771674,32.84723,57,21.05451,0,2.311738
-2.014983,-4.756821,32.95197,57,21.16274,0,2.316544
-1.978319,-4.746615,33.05854,57,21.26951,0,2.321275
-1.963304,-4.735875,33.16861,57,21.3735,0,2.325979
-1.957197,-4.718722,33.3222,57,21.53429,0,2.332463
-1.954175,-4.709341,33.42299,57,21.63747,0,2.337176
-1.967474,-4.681233,33.52859,57,21.74134,0,2.337176
-2.001884,-4.642658,33.6445,57,21.86012,0,2.337176
-2.066116,-4.571766,33.75509,57,21.96312,0,2.337176
-2.090758,-4.549302,33.86332,57,22.07912,0,2.34038
-2.167591,-4.483243,33.97044,57,22.18544,0,2.362222
-2.206954,-4.447733,34.08417,57,22.29258,0,2.366964
-2.230108,-4.413811,34.18826,57,22.40556,0,2.371432
-2.244067,-4.381073,34.29205,57,22.50678,0,2.374872
-2.26018,-4.296144,34.41513,57,22.61808,0,2.382093
-2.289261,-4.235322,34.52369,57,22.74302,0,2.385924
-2.292832,-4.178764,34.63586,57,22.85136,0,2.389911
-2.280556,-4.131869,34.7448,57,22.95107,0,2.395845
-2.288157,-4.111399,34.85753,57,23.07133,0,2.397213
-2.296146,-4.104484,34.95995,57,23.17917,0,2.401617
-2.316642,-4.0992,35.07419,57,23.28158,0,2.405873
-2.356239,-4.056314,35.19555,62,23.39768,0,2.412175
-2.368618,-4.039036,35.29974,62,23.51237,0,2.414968
-2.415542,-3.993196,35.40622,67,23.61624,0,2.418201
-2.467701,-3.963578,35.50953,72,23.72767,0,2.42469
-2.479793,-3.949238,35.65589,77,23.87487,0,2.42908
-2.485004,-3.938907,35.76627,77,23.97403,0,2.435697
-2.485418,-3.940192,35.87872,77,24.09021,0,2.440573
-2.510096,-3.966218,35.98374,82,24.19204,0,2.444252
-2.519228,-3.953561,36.10846,82,24.31333,0,2.449391
-2.527648,-3.939302,36.21244,82,24.42772,0,2.454107
-2.518986,-3.947103,36.37265,87,24.58413,0,2.461484
-2.498791,-3.908419,36.49297,87,24.69688,0,2.469034
-2.495243,-3.890786,36.59949,87,24.80668,0,2.473309
-2.474949,-3.854274,36.70064,87,24.91747,0,2.473309
-2.463331,-3.836039,36.81652,87,25.02837,0,2.473309
-2.458027,-3.795708,36.93084,92,25.13564,0,2.485332
-2.458388,-3.783495,37.0443,92,25.2501,0,2.494198
-2.451472,-3.774021,37.1571,92,25.36768,0,2.49937
-2.48127,-3.764552,37.26039,92,25.47202,0,2.504395
-2.492332,-3.766415,37.36047,92,25.57406,0,2.534315
-2.528694,-3.784182,37.46982,92,25.68324,0,2.539088
-2.568071,-3.805074,37.58347,92,25.79173,0,2.542532
-2.618603,-3.841624,37.68359,92,25.89744,0,2.547471
-2.649132,-3.853003,37.80306,92,26.0125,0,2.552294
-2.675629,-3.864992,37.90928,92,26.12086,0,2.559007
-2.679434,-3.869672,38.02219,92,26.22967,0,2.562609
