position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance
-5.238772,-4.831804,30.4275,2,6.07066,0,1.846148
-5.242332,-4.8332,30.5758,2,6.227948,0,1.825537
-5.238171,-4.831029,30.72412,2,6.372867,0,1.828161
-5.226284,-4.812524,30.86947,2,6.515882,0,1.830374
-5.21845,-4.799131,30.97432,2,6.621134,0,1.832274
-5.205295,-4.771482,31.12145,2,6.764362,0,1.834464
-5.199265,-4.741757,31.26206,2,6.915771,0,1.836231
-5.210143,-4.65942,31.36813,2,7.015509,0,1.839763
-5.230692,-4.577242,31.49154,3,7.133846,0,1.841349
-5.267037,-4.511435,31.61032,3,7.249592,0,1.842736
-5.277836,-4.482555,31.7159,4,7.366315,0,1.844714
-5.285887,-4.459182,31.81895,4,7.463288,0,1.846606
-5.285218,-4.436405,31.94711,4,7.58569,0,1.849434
-5.281546,-4.425112,32.07774,5,7.710846,0,1.852234
-5.292739,-4.413968,32.20988,6,7.845434,0,1.854188
-5.293509,-4.419153,32.33939,6,7.910352,0,1.857052
-5.29573,-4.418294,32.46769,6,8.039862,0,1.858567
-5.300145,-4.376161,32.61767,7,8.251424,0,1.860652
-5.30832,-4.353106,32.76701,7,8.395301,0,1.860652
-5.301732,-4.325853,32.92105,8,8.542604,0,1.869141
-5.286958,-4.321828,33.06455,9,8.697388,0,1.871388
-5.246692,-4.304363,33.21094,9,8.841709,0,1.874808
-5.216805,-4.296173,33.34108,9,8.979359,0,1.878135
-5.187785,-4.304058,33.48355,10,9.106664,0,1.880647
-5.164735,-4.279034,33.63786,10,9.267683,0,1.883973
-5.123679,-4.244665,33.77333,10,9.405756,0,1.887066
-5.079355,-4.214717,33.90553,10,9.540254,0,1.889076
-5.025692,-4.177024,34.03749,10,9.673845,0,1.893219
-4.976326,-4.151369,34.18016,10,9.805039,0,1.896579
-4.91076,-4.141088,34.33949,11,9.958549,0,1.900324
-4.874345,-4.137555,34.4795,11,10.11785,0,1.856818
-4.817244,-4.135689,34.63089,11,10.25013,0,1.860323
-4.803325,-4.138405,34.75421,11,10.39408,0,1.86273
-4.740555,-4.141325,34.87928,11,10.52109,0,1.866531
-4.715753,-4.103025,35.00494,11,10.63979,0,1.870484
-4.682543,-4.105735,35.12649,11,10.771,0,1.874695
-4.686634,-4.092968,35.24924,11,10.89082,0,1.876595
-4.68874,-4.090127,35.37932,11,11.01571,0,1.880232
-4.694504,-4.093556,35.50942,11,11.14661,0,1.884252
-4.699775,-4.100997,35.65073,11,11.2813,0,1.888661
-4.704687,-4.108802,35.7812,11,11.41453,0,1.89176
-4.715802,-4.124849,35.90289,11,11.54803,0,1.896903
-4.722372,-4.133251,36.01696,11,11.6634,0,1.898343
-4.724488,-4.148056,36.13749,12,11.77946,0,1.903403
-4.723119,-4.153304,36.26659,12,11.9064,0,1.905652
-4.716575,-4.159916,36.38452,12,11.9064,0,1.909043
-4.711524,-4.169951,36.50587,12,11.9064,0,1.913599
-4.709864,-4.185378,36.63906,12,11.9064,0,1.918165
-4.703309,-4.204226,36.76506,12,11.9064,0,1.920448
-4.699582,-4.233517,36.89892,12,11.9064,0,1.924426
-4.697046,-4.287193,37.02121,12,11.9064,0,1.928885
-4.696673,-4.315738,37.14323,12,11.9064,0,1.930184
-4.698226,-4.375754,37.26821,12,11.9064,0,1.934867
-4.716038,-4.487164,37.39388,12,11.9064,0,1.934867
-4.726993,-4.549017,37.52169,12,11.9064,0,1.945078
-4.730318,-4.575609,37.66708,12,11.9064,0,1.95122
-4.719195,-4.589434,37.79086,12,11.9064,0,1.954357
-4.70258,-4.598955,37.90981,12,11.9064,0,1.956696
-4.647879,-4.62193,38.04931,12,11.97619,0,1.963591
-4.612561,-4.63376,38.17961,12,12.10797,0,1.96889
-4.584979,-4.642328,38.30376,12,12.23837,0,1.972918
-4.547341,-4.655092,38.43016,13,12.36171,0,1.938251
-4.513226,-4.675435,38.54953,13,12.48734,0,1.941326
-4.48133,-4.718072,38.69147,14,12.61833,0,1.947592
-4.466596,-4.747061,38.82035,14,12.75271,0,1.950958
-4.463974,-4.76339,38.9518,14,12.88622,0,1.95668
-4.464198,-4.766702,39.07045,14,13.00764,0,1.960538
-4.474464,-4.774477,39.2047,14,13.13552,0,1.965908
-4.481676,-4.776851,39.3333,14,13.26798,0,1.971412
-4.473205,-4.773983,39.46515,14,13.39961,0,1.975574
-4.461158,-4.778966,39.59954,14,13.52619,0,1.981127
-4.458038,-4.778667,39.73687,14,13.66413,0,1.981127
-4.457151,-4.778,39.86323,15,13.80255,0,1.981127
-4.445597,-4.78124,39.98484,16,13.91801,0,1.997043
-4.417502,-4.799788,40.10871,16,14.0527,0,2.000774
-4.394563,-4.811436,40.23073,16,14.17043,0,2.00706
-4.308907,-4.859351,40.36936,16,14.29985,0,2.013321
-4.267025,-4.89566,40.4921,16,14.43129,0,2.018073
-4.245672,-4.918156,40.61079,16,14.5489,0,2.019996
