position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance
0.319955,0.6637292,38.5112,1,6.130658,0,6.097634
0.3247513,0.6604711,38.63241,1,6.248738,0,6.092133
0.329263,0.657314,38.74586,1,6.361731,0,6.082856
0.3355525,0.6518089,38.85532,1,6.47297,0,6.076288
0.3374419,0.6352862,38.96722,1,6.585996,0,6.069535
0.33834,0.6209756,39.07081,1,6.687911,0,6.064389
0.3394953,0.6018502,39.17475,1,6.792708,0,6.057537
0.3355137,0.5723531,39.30688,1,6.920392,0,6.050942
0.3194025,0.4715935,39.43285,1,7.042531,0,6.03972
0.3180769,0.3710597,39.60272,1,7.223459,0,6.029989
0.3353405,0.3180898,39.72884,1,7.339471,0,6.023289
0.3402454,0.2950738,39.84165,2,7.459292,0,6.017931
0.3444739,0.2682789,39.97697,2,7.575151,0,6.008698
0.3499276,0.2627847,40.09828,2,7.708659,0,5.999023
0.3630604,0.2549433,40.22758,2,7.8326,0,5.99194
0.3825794,0.2530886,40.34771,3,7.960956,0,5.981863
0.402995,0.2591994,40.48729,3,8.076879,0,5.974744
0.4100294,0.2599138,40.60941,3,8.22221,0,5.964116
0.4204409,0.2630722,40.738,4,8.347645,0,5.954449
0.4271215,0.2687187,40.84942,4,8.472483,0,5.951571
0.4336322,0.2708095,40.96399,4,8.583895,0,5.944273
0.4398271,0.274187,41.07323,4,8.691628,0,5.934489
0.443472,0.2741588,41.19842,5,8.813494,0,5.92803
0.4498669,0.2737296,41.3109,5,8.930962,0,5.918242
0.4542666,0.2752246,41.44361,5,9.050572,0,5.909008
0.4582644,0.27307,41.56729,5,9.181594,0,5.901533
0.4643876,0.2704144,41.68525,5,9.300591,0,5.896328
0.4742876,0.2663415,41.8124,5,9.429458,0,5.886687
0.484389,0.2749531,41.92692,5,9.550559,0,5.88229
0.4923125,0.2913964,42.04009,5,9.660044,0,5.870536
0.4945583,0.305788,42.15412,5,9.772121,0,5.86754
0.4982409,0.3553436,42.25878,5,9.883585,0,5.91739
0.5117085,0.4354704,42.37823,5,9.995898,0,5.907895
0.5420741,0.5229893,42.49051,5,10.10073,0,5.899624
0.5469317,0.5488194,42.60001,5,10.22373,0,5.89508
0.5546972,0.5672034,42.70638,5,10.33207,0,5.889581
0.5674425,0.586969,42.82958,5,10.44179,0,5.87979
0.5731491,0.5892093,42.96181,5,10.57087,0,5.868534
0.5707296,0.5942597,43.07749,5,10.69761,0,5.863081
0.5729837,0.6020924,43.18631,5,10.80804,0,5.847454
0.5757652,0.6030394,43.29752,5,10.91673,0,5.831771
0.5925992,0.612819,43.40289,5,11.02171,0,5.819824
0.5904281,0.6215456,43.52749,5,11.14177,0,5.808588
0.5891106,0.6473095,43.63772,5,11.25816,0,5.794005
0.5864036,0.6732841,43.75411,5,11.37022,0,5.78042
0.5812799,0.7040829,43.87577,5,11.48816,0,5.770915
0.5607356,0.7655358,44.00332,5,11.61629,0,5.752987
0.5205784,0.8485098,44.1149,5,11.73734,0,5.742391
0.4914955,0.9546467,44.25731,6,11.85304,0,5.715864
0.4852312,0.9949526,44.3697,6,11.98978,0,5.702844
0.4818538,1.010007,44.48182,6,12.09729,0,5.692773
0.4418148,1.03163,44.59497,6,12.21151,0,5.671001
0.439794,1.037831,44.70935,6,12.33051,0,5.660941
0.4422493,1.053527,44.82337,7,12.44118,0,5.636668
0.4497841,1.059218,44.93353,7,12.55069,0,5.626567
0.4568871,1.058053,45.05112,8,12.66611,0,5.605135
0.455269,1.056852,45.15996,8,12.78026,0,5.596535
0.4337016,1.05929,45.27418,9,12.88898,0,5.583723
0.4144139,1.065558,45.38,9,13.00305,0,5.572208
0.373069,1.07815,45.51274,9,13.12362,0,5.55498
0.360885,1.082008,45.64019,9,13.25384,0,5.532197
0.3505659,1.087333,45.75702,9,13.37477,0,5.514736
0.3572008,1.07962,45.86683,10,13.47804,0,5.495982
0.3628787,1.078351,45.98712,10,13.59519,0,5.48012
0.3662173,1.077085,46.09155,10,13.71514,0,5.47014
0.3732313,1.074295,46.20407,11,13.82528,0,5.455851
0.370011,1.067587,46.31302,11,13.92842,0,5.482622
0.3672204,1.064738,46.43508,11,14.04753,0,5.465188
0.3626748,1.061203,46.54903,12,14.16826,0,5.452474
0.3643589,1.045798,46.67189,12,14.27871,0,5.431312
0.362456,1.040787,46.78005,12,14.40332,0,5.424326
0.3502932,1.022537,46.88469,12,14.50817,0,5.446425
0.3250881,0.9606836,47.00272,13,14.61632,0,5.43962
0.3081259,0.9213216,47.11198,13,14.73078,0,5.407301
0.2888896,0.8050781,47.23859,13,14.846,0,5.390701
0.2893704,0.7544305,47.36024,13,14.96714,0,5.373813
0.2861185,0.6582375,47.46923,13,15.0924,0,5.359624
0.2765723,0.6164432,47.58529,13,15.20084,0,5.345744
0.2535101,0.5374404,47.70755,13,15.31653,0,5.330046
0.2350683,0.494344,47.82557,13,15.44312,0,5.317375
0.1873302,0.4236756,47.93705,13,15.55868,0,5.299284
0.1009799,0.3499225,48.04555,13,15.66162,0,5.283879
0.06619153,0.3118216,48.17326,13,15.78435,0,5.269843
0.01679791,0.2801964,48.28879,13,15.9032,0,5.254426
-0.01830777,0.2604119,48.40543,13,16.02404,0,5.233313
-0.05639502,0.233967,48.51888,13,16.13542,0,5.219115
-0.0848782,0.2012841,48.62358,13,16.2472,0,5.206589
-0.1006508,0.1735326,48.74577,13,16.35478,0,5.192485
-0.1020052,0.1479207,48.86331,13,16.47724,0,5.172894
-0.1003478,0.1499947,48.98843,13,16.60018,0,5.163162
-0.102592,0.1490469,49.11775,13,16.72715,0,5.139262
-0.09842715,0.1472034,49.2317,14,16.84863,0,5.124014
-0.1054723,0.1467796,49.34978,14,16.96746,0,5.115801
-0.10649,0.1484777,49.47332,14,17.08156,0,5.093719
-0.1072419,0.149388,49.58405,15,17.20489,0,5.076319
-0.1058995,0.1500018,49.70012,15,17.31447,0,5.062901
-0.1066448,0.1536589,49.8219,16,17.43909,0,5.050153
-0.1113067,0.1624003,49.93591,16,17.55079,0,5.029436
-0.1122947,0.165809,50.05027,17,17.66825,0,5.019906
-0.1088875,0.1647728,50.17715,17,17.78394,0,5.000774
-0.1158216,0.1679011,50.28763,17,17.91018,0,5.061172
-0.1148791,0.1666192,50.40598,18,18.02134,0,5.047956
-0.1051453,0.1672571,50.52858,18,18.13737,0,5.028695
-0.09318923,0.1660465,50.63561,19,18.25511,0,5.019256
-0.1023254,0.1747962,50.74656,19,18.36366,0,5.002621
-0.1064346,0.1960573,50.88012,19,18.48015,0,4.986722
-0.1170409,0.2101129,50.99203,20,18.61458,0,4.970385
-0.1280098,0.226787,51.10072,20,18.72293,0,4.961504
-0.1447692,0.243556,51.21841,21,18.8326,0,4.945503
-0.1732096,0.2590008,51.35244,21,18.96133,0,4.930253
-0.1980485,0.2689599,51.47877,21,19.09308,0,4.913696
-0.3602785,0.3116793,51.61891,21,19.21239,0,4.895525
-0.4075941,0.321425,51.74765,21,19.36033,0,4.889017
-0.4575285,0.3348919,51.87999,21,19.50686,0,4.879764
-0.5067762,0.3532696,51.99218,22,19.60972,0,4.87585
-0.5546875,0.3901454,52.1087,22,19.72744,0,4.832378
-0.57473,0.4107208,52.21517,22,19.8392,0,4.818523
-0.6231065,0.487947,52.33707,22,19.94678,0,4.800613
-0.6304057,0.5072421,52.45432,22,20.07122,0,4.79127
-0.6401265,0.5416261,52.57088,22,20.19169,0,4.772642
-0.6478536,0.5571631,52.69572,22,20.30444,0,4.757281
-0.6514221,0.5686394,52.8307,22,20.44968,0,4.744242
-0.6604898,0.604652,52.94453,23,20.56257,0,4.725714
-0.6591002,0.6268563,53.06829,23,20.68011,0,4.711029
-0.6578618,0.6336831,53.17805,23,20.79792,0,4.699631
-0.6681269,0.6660115,53.32365,23,20.94876,0,4.682904
-0.6818955,0.7016959,53.44736,23,21.05526,0,4.669223
-0.6882193,0.7322627,53.56464,23,21.17922,0,4.659216
-0.6940375,0.8337722,53.69399,23,21.30128,0,4.646436
-0.6832077,0.8803395,53.82021,23,21.43638,0,4.706492
-0.6855983,0.9050342,53.93082,23,21.55181,0,4.694501
-0.6861253,0.9175925,54.0358,23,21.66163,0,4.68978
-0.6689863,0.9264109,54.15288,23,21.76209,0,4.67843
-0.6610061,0.9298137,54.26772,23,21.88253,0,4.666849
-0.6607866,0.9369288,54.37674,23,21.9934,0,4.660644
-0.6695252,0.9421842,54.49313,23,22.10908,0,4.650559
-0.6806286,0.9769631,54.62384,23,22.16611,0,4.633022
-0.6796879,1.007054,54.75637,23,22.16611,0,4.625221
-0.6674767,1.056744,54.87818,23,22.16611,0,4.603893
-0.6638139,1.07591,54.99489,23,22.16611,0,4.594626
-0.6619141,1.102276,55.10887,23,22.16611,0,4.574475
-0.6637645,1.111303,55.22802,23,22.16611,0,4.557082
-0.6642585,1.117501,55.34293,23,22.16611,0,4.542271
-0.6690885,1.121543,55.44825,23,22.16611,0,4.51849
-0.6748545,1.120201,55.57628,23,22.16611,0,4.499473
-0.6772398,1.117825,55.69212,23,22.16611,0,4.482224
-0.6792961,1.108564,55.80762,23,22.16611,0,4.456469
-0.6791957,1.099748,55.92666,23,22.16611,0,4.432897
-0.6753154,1.094042,56.04584,23,22.16611,0,4.414164
-0.6746646,1.091096,56.15986,23,22.22364,0,4.40286
-0.6723962,1.092863,56.27456,23,22.33957,0,4.37643
-0.6705679,1.09465,56.38624,23,22.45254,0,4.360865
-0.6659184,1.09619,56.48972,23,22.56009,0,4.339632
-0.6609764,1.097514,56.62151,23,22.67361,0,4.312598
-0.6539409,1.100505,56.7438,23,22.80383,0,4.287218
-0.6477001,1.103349,56.85685,23,22.92251,0,4.266774
-0.6431756,1.10657,56.97737,23,23.03151,0,4.249385
-0.6423015,1.107504,57.08873,24,23.15826,0,4.231222
-0.6379145,1.109261,57.19241,24,23.26673,0,4.210276
-0.6353141,1.110485,57.30655,24,23.36952,0,4.242523
-0.630438,1.114292,57.42846,24,23.49148,0,4.229796
-0.6278877,1.115134,57.54728,25,23.60745,0,4.201763
-0.6247142,1.115906,57.67922,25,23.73476,0,4.185083
-0.62354,1.115941,57.79774,26,23.86083,0,4.216826
-0.6185741,1.114492,57.91047,26,23.97612,0,4.191489
-0.6158306,1.115314,58.09575,26,24.15285,0,4.161552
-0.6141437,1.113902,58.21526,27,24.27595,0,4.142756
-0.6125544,1.113442,58.33052,28,24.39046,0,4.130629
-0.6093704,1.110943,58.45697,28,24.51901,0,4.106019
-0.6056035,1.109264,58.56208,28,24.62618,0,4.094162
-0.6057017,1.110004,58.68566,28,24.74494,0,4.076731
-0.6064786,1.10976,58.8002,29,24.86497,0,4.058171
-0.6049767,1.108945,58.91602,29,24.97961,0,4.04188
-0.6016737,1.104936,59.03319,30,25.09451,0,4.02333
-0.6003379,1.099371,59.15675,30,25.21659,0,4.013595
-0.6024969,1.085205,59.27062,30,25.33033,0,3.994326
-0.609633,1.069525,59.38441,31,25.44702,0,3.980153
