position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance,activeScreen,coin(user),coin(no-user),fever,jump
0.1147192,0.815085,17.55748,2,14.69696,0,5.488542,1,63,55,0,0
0.1317987,0.8123601,17.66367,2,14.79978,0,5.49086,1,63,55,0,0
0.1482217,0.8085918,17.76387,2,14.90623,0,5.49168,1,62,55,0,0
0.1530141,0.8058687,17.86413,2,15.0045,0,5.491817,1,63,55,0,0
0.1653768,0.8078243,17.97871,2,15.12073,0,5.492041,1,63,55,0,0
0.254011,0.8258414,18.12216,2,15.27084,0,5.492986,1,63,55,0,0
0.3067583,0.8355528,18.2245,2,15.37127,0,5.495052,1,63,54,0,0
0.3675998,0.8333015,18.32805,2,15.47251,0,5.494452,1,62,54,0,0
0.4095057,0.8287513,18.48092,2,15.61724,0,5.493862,1,62,54,0,0
0.4331097,0.8317021,18.62044,2,15.76502,0,5.491788,1,62,54,0,0
0.4325807,0.8369142,18.72428,2,15.869,0,5.492103,1,62,54,0,0
0.4382378,0.8381777,18.83536,2,15.97561,0,5.493375,1,62,54,0,0
0.440028,0.8510306,18.93688,2,16.0781,0,5.493077,1,62,54,0,0
0.4359346,0.8544427,19.0377,3,16.17829,0,5.491484,1,62,54,0,0
0.4370296,0.8582532,19.14164,3,16.28565,0,5.483036,1,60,54,0,0
0.4410056,0.8630928,19.25233,3,16.3942,0,5.477,1,59,54,0,0
0.4379104,0.8741484,19.35515,4,16.49392,0,5.47134,1,59,54,0,0
0.4393253,0.9106527,19.50085,4,16.64709,0,5.463769,1,59,54,0,0
0.4521794,0.95605,19.65798,4,16.79353,0,5.458301,1,59,53,0,0
0.4989964,1.019789,19.77759,5,16.91402,0,5.450071,1,60,53,0,0
0.5271415,1.048595,19.88176,5,17.01633,0,5.443691,1,59,54,0,0
0.5698344,1.084396,19.98697,5,17.13145,0,5.439396,1,60,54,0,0
0.6005785,1.10914,20.08904,5,17.23298,0,5.434143,1,59,54,0,0
0.6161918,1.121376,20.19166,5,17.33139,0,5.425744,1,59,54,0,0
0.6230479,1.109147,20.30176,6,17.44163,0,5.42147,1,59,54,0,0
0.6235316,1.10099,20.40422,6,17.54893,0,5.415435,1,57,54,0,0
0.6312277,1.093923,20.50683,6,17.65166,0,5.412137,1,57,54,0,0
0.6289549,1.094373,20.61804,6,17.74848,0,5.408343,1,57,54,0,0
0.627236,1.090704,20.76182,6,17.90827,0,5.405625,1,57,54,0,0
0.625872,1.084947,20.86258,6,18.00368,0,5.40732,1,57,54,0,0
0.6307028,1.080493,21.00483,6,18.15159,0,5.411505,1,57,54,0,0
0.6262824,1.08029,21.14626,6,18.29165,0,5.407601,1,59,56,0,0
0.6157683,1.071317,21.24951,6,18.38981,0,5.407889,1,59,56,0,0
0.6094293,1.068582,21.35526,6,18.49431,0,5.400673,1,59,58,0,0
0.585027,1.080659,21.50584,6,18.64335,0,5.40017,1,58,58,0,0
0.5322531,1.108413,21.65814,6,18.79771,0,5.400029,1,57,59,0,0
0.4945025,1.118305,21.75871,6,18.90152,0,5.398235,1,57,60,0,0
0.4136581,1.129599,21.86049,6,18.99972,0,5.399915,1,57,59,0,0
0.3017743,1.128703,21.96105,6,19.10501,0,5.399735,1,57,59,0,0
0.235626,1.123758,22.06327,6,19.2089,0,5.399488,1,58,59,0,0
0.1280234,1.126713,22.16707,6,19.31108,0,5.399398,1,59,60,0,0
0.06749862,1.135439,22.26958,6,19.40883,0,5.39879,1,57,59,0,0
-0.01882169,1.156408,22.41784,6,19.56241,0,5.400474,1,56,59,0,0
-0.1052296,1.199176,22.5212,6,19.66384,0,5.401112,1,56,59,0,0
-0.1839011,1.224553,22.62135,6,19.76597,0,5.399174,1,56,59,0,0
-0.2390931,1.245732,22.72248,7,19.86541,0,5.40189,1,55,59,0,0
-0.2693243,1.263678,22.82484,7,19.97149,0,5.399912,1,53,60,0,0
-0.306744,1.271959,22.93641,8,20.07571,0,5.3394,1,53,61,0,0
-0.3519041,1.282855,23.03727,8,20.18023,0,5.339919,1,52,62,0,0
-0.3807638,1.270695,23.14306,8,20.28502,0,5.339118,1,52,63,0,0
-0.3977829,1.247726,23.24591,8,20.38876,0,5.338085,1,52,62,0,0
-0.4366618,1.214536,23.36565,8,20.50575,0,5.332008,1,52,62,0,0
-0.4467158,1.203097,23.4675,9,20.61004,0,5.326704,1,54,62,0,0
-0.4531355,1.185609,23.61372,9,20.7594,0,5.317884,1,54,62,0,0
-0.4330194,1.173856,23.75715,10,20.90686,0,5.30924,1,52,61,0,0
-0.4221997,1.162419,23.90697,10,21.05292,0,5.301056,1,54,60,0,0
-0.4250636,1.149562,24.06188,11,21.19944,0,5.292804,1,53,60,0,0
-0.4282723,1.145161,24.21286,12,21.35314,0,5.284661,1,55,61,0,0
-0.4288407,1.144918,24.324,12,21.46558,0,5.280817,1,54,61,0,0
-0.4284852,1.148719,24.42559,12,21.57188,0,5.274869,1,54,62,0,0
-0.434635,1.155166,24.56929,12,21.71503,0,5.267573,1,54,63,0,0
-0.4391341,1.153462,24.67144,13,21.81354,0,5.262487,1,55,63,0,0
-0.4194417,1.150321,24.77493,13,21.91408,0,5.256812,1,55,63,0,0
-0.4102832,1.151213,24.87648,14,22.0203,0,5.251141,1,53,63,0,0
-0.381529,1.161276,25.0199,14,22.16449,0,5.245461,1,53,62,0,0
