position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance
-3.825365,-6.123666,67.56065,0,5.74578,0,5.408367
-3.813259,-6.117166,67.70296,1,5.879525,0,5.409012
-3.811902,-6.126433,67.83024,1,6.012944,0,5.403877
-3.808724,-6.129993,67.94556,2,6.135627,0,5.400346
-3.80784,-6.144535,68.05423,2,6.247008,0,5.371592
-3.80378,-6.154612,68.1585,2,6.351045,0,5.361139
-3.812525,-6.153975,68.27142,2,6.455653,0,5.345895
-3.812156,-6.151892,68.39366,2,6.577519,0,5.333673
-3.805771,-6.144175,68.5061,2,6.693954,0,5.316968
-3.810238,-6.107791,68.61961,2,6.803618,0,5.299169
-3.819643,-6.085481,68.73819,2,6.923975,0,5.289228
-3.842088,-6.021852,68.84134,2,7.038336,0,5.276382
-3.858423,-5.973205,68.9604,2,7.143864,0,5.259594
-3.866239,-5.923923,69.07346,2,7.268313,0,5.238469
-3.870697,-5.889594,69.18745,2,7.375948,0,5.22581
-3.875599,-5.867914,69.30186,2,7.487033,0,5.211698
-3.871544,-5.863966,69.41571,2,7.605688,0,5.194613
-3.861529,-5.861417,69.54082,2,7.724843,0,5.181732
-3.858297,-5.86339,69.66006,3,7.845293,0,5.174746
-3.83894,-5.875884,69.76894,3,7.967305,0,5.167788
-3.825498,-5.888655,69.87495,3,8.068545,0,5.162247
-3.773284,-5.944932,69.99371,3,8.176682,0,5.113656
-3.723627,-5.99096,70.10729,4,8.299083,0,5.101322
-3.697024,-6.019678,70.21302,4,8.406422,0,5.087377
-3.671742,-6.071337,70.32606,4,8.511335,0,5.070896
-3.651224,-6.105674,70.43826,4,8.629378,0,5.058399
-3.645724,-6.104355,70.54968,4,8.737485,0,5.041814
-3.613697,-6.112211,70.67114,4,8.859684,0,5.025177
-3.590178,-6.106251,70.7896,5,8.97738,0,5.018341
-3.569668,-6.085013,70.89487,5,9.089885,0,5.011678
-3.529304,-6.070939,71.00981,5,9.19524,0,4.984728
-3.448504,-6.067671,71.11836,5,9.312335,0,4.964791
-3.34079,-6.063785,71.23093,5,9.418894,0,4.948268
-3.278018,-6.068118,71.34444,5,9.536302,0,4.934096
-3.212024,-6.076373,71.4527,5,9.643906,0,4.91841
-3.20228,-6.085592,71.56796,5,9.760576,0,4.904279
-3.187705,-6.106237,71.69433,5,9.871471,0,4.890372
-3.182872,-6.121921,71.81598,5,10.0062,0,4.899463
-3.190133,-6.132692,71.92428,5,10.11581,0,4.886649
-3.19014,-6.148963,72.0372,5,10.22681,0,4.872903
-3.174158,-6.163151,72.15128,5,10.3408,0,4.85716
