position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance,activeScreen,coin(user),coin(no-user),fever,jump
0.5100523,0.2241754,16.91311,3,6.868285,0,3.169199,1,59,76,0,0
0.5148622,0.2258205,17.06652,4,7.019295,0,3.161187,1,59,76,0,0
0.5197268,0.228366,17.1766,4,7.129081,0,3.155296,1,59,76,0,0
0.5233664,0.2309529,17.29196,4,7.22783,0,3.150694,1,59,76,0,0
0.5235103,0.2312833,17.39543,4,7.349509,0,3.144907,1,60,76,0,0
0.533416,0.2363593,17.54379,5,7.495088,0,3.137036,1,58,76,0,0
0.538371,0.2387124,17.64753,5,7.59851,0,3.131304,1,58,76,0,0
0.5415071,0.241179,17.79091,5,7.748674,0,3.123049,1,57,76,0,0
0.544835,0.2412812,17.94467,5,7.896029,0,3.114996,1,55,76,0,0
0.5735092,0.2079072,18.09225,5,8.05078,0,3.106697,1,54,76,0,0
0.6170856,0.1915259,18.23379,5,8.193128,0,3.098602,1,52,76,0,0
0.6684836,0.1238798,18.42985,5,8.383416,0,3.090282,1,52,76,0,0
0.7246423,0.03577961,18.58692,5,8.535311,0,3.081252,1,53,76,0,0
0.7753211,0.004894237,18.72092,6,8.675792,0,3.072081,1,52,76,0,0
0.7907685,0.002878139,18.84947,6,8.809672,0,3.063489,1,53,76,0,0
0.7907919,-0.0007527624,18.99481,6,8.952168,0,3.054787,1,53,76,0,0
0.7882923,-0.01138557,19.13147,6,9.087411,0,3.046332,1,53,76,0,0
0.7929207,-0.02055788,19.23602,6,9.193311,0,3.042955,1,53,76,0,0
0.7961933,-0.0248809,19.38132,6,9.333275,0,3.032037,1,52,76,0,0
0.7956394,-0.02535133,19.5183,6,9.471501,0,3.02599,1,54,76,0,0
0.7993556,-0.02810856,19.65134,6,9.611304,0,3.02599,1,54,76,0,0
0.8013702,-0.02795665,19.76995,6,9.731686,0,3.02599,1,54,76,0,0
0.7895012,-0.04879702,19.91332,6,9.871654,0,3.003318,1,57,76,0,0
0.7823009,-0.03138223,20.04222,6,10.01444,0,2.99515,1,57,76,0,0
0.8081169,0.01000889,20.17406,6,10.14204,0,2.986898,1,58,76,0,0
0.869638,0.07779082,20.36284,6,10.31387,0,2.978778,1,58,76,0,0
0.8950865,0.1675683,20.51156,6,10.46726,0,2.968575,1,58,76,0,0
0.912279,0.2596358,20.63506,7,10.59542,0,2.962933,1,57,76,0,0
0.8965845,0.4584861,20.8604,7,10.81534,0,2.954912,1,57,76,0,0
0.8926141,0.4997039,20.99745,8,10.95946,0,2.944771,1,55,76,0,0
0.8995522,0.5212617,21.09892,8,11.04396,0,2.939357,1,56,76,0,0
