position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance,activeScreen,coin(user),coin(no-user),fever,jump
-0.1668494,-0.3016959,17.90511,0,6.906353,0,3.318944,1,54,76,0,0
-0.1737542,-0.3040572,18.01167,0,7.016208,0,3.312072,1,53,76,0,0
-0.1814878,-0.30321,18.13303,0,7.124615,0,3.304306,1,53,76,0,0
-0.1853527,-0.3093334,18.24487,0,7.246283,0,3.298842,1,53,76,0,0
-0.2015021,-0.297837,18.35923,0,7.361693,0,3.293669,1,53,76,0,0
-0.2105649,-0.2832036,18.46346,1,7.465802,0,3.289425,1,53,76,0,0
-0.2191779,-0.2562054,18.57265,1,7.580259,0,3.280824,1,54,76,0,0
-0.2323687,-0.2034439,18.71232,1,7.713193,0,3.276466,1,54,76,0,0
-0.2353988,-0.1666579,18.81383,1,7.819778,0,3.271192,1,54,76,0,0
-0.2384818,-0.1255581,18.96472,1,7.96248,0,3.266407,1,54,76,0,0
-0.2384414,-0.1042005,19.0699,1,8.080183,0,3.259012,1,54,76,0,0
-0.2449592,-0.08254217,19.179,2,8.18589,0,3.251869,1,53,76,0,0
-0.2600507,-0.05131914,19.3542,2,8.359219,0,3.246982,1,47,76,0,0
-0.2657707,-0.03693955,19.46096,2,8.466231,0,3.240868,1,47,76,0,0
-0.2834871,-0.01275208,19.57051,3,8.573185,0,3.237705,1,46,76,0,0
-0.2968414,-0.003954351,19.67095,3,8.674022,0,3.232901,1,46,76,0,0
-0.3390212,0.01327022,19.79815,3,8.791075,0,3.227447,1,46,76,0,0
-0.3908593,0.02573212,19.91161,4,8.911827,0,3.218477,1,48,76,0,0
-0.4438944,0.02325845,20.04446,4,9.051537,0,3.21116,1,47,76,0,0
-0.4972092,0.02020863,20.22616,4,9.22365,0,3.205862,1,47,76,0,0
-0.5243725,0.01882776,20.33877,4,9.344334,0,3.198565,1,47,76,0,0
-0.5447768,0.01585384,20.47278,4,9.471367,0,3.196494,1,47,76,0,0
-0.557861,0.001018331,20.67343,4,9.676753,0,3.184865,1,45,76,0,0
-0.5748045,-0.006831961,20.78504,5,9.789473,0,3.194409,1,46,76,0,0
-0.5762782,-0.007090797,20.90823,5,9.91977,0,3.192386,1,46,76,0,0
-0.5544789,-0.00914957,21.01018,5,10.01979,0,3.182177,1,46,76,0,0
-0.5382935,-0.006069004,21.11871,6,10.12325,0,3.178142,1,44,76,0,0
-0.5293587,0.005854392,21.25385,6,10.26049,0,3.175186,1,44,76,0,0
-0.5125517,0.01974712,21.36413,6,10.36828,0,3.167959,1,45,76,0,0
-0.4934478,0.03148222,21.49643,6,10.4991,0,3.163885,1,45,76,0,0
-0.4878709,0.05729462,21.61583,6,10.62132,0,3.15371,1,47,76,0,0
-0.4999773,0.082804,21.74448,7,10.7448,0,3.151633,1,47,76,0,0
-0.5306432,0.1301122,21.85191,7,10.8584,0,3.141428,1,47,76,0,0
-0.5485207,0.1543293,21.96289,7,10.96396,0,3.137478,1,47,76,0,0
-0.5596413,0.1713719,22.09015,7,11.09199,0,3.13448,1,48,76,0,0
-0.573828,0.18314,22.1997,7,11.20526,0,3.1275,1,48,76,0,0
-0.5770364,0.1934843,22.32585,7,11.33005,0,3.12273,1,48,76,0,0
-0.5802512,0.2078623,22.443,7,11.44224,0,3.116087,1,48,76,0,0
-0.5737318,0.2273963,22.60984,7,11.61755,0,3.112157,1,47,76,0,0
-0.5731345,0.2332404,22.71803,7,11.72166,0,3.102606,1,46,76,0,0
-0.5683994,0.2318189,22.81902,8,11.82697,0,3.097742,1,45,76,0,0
-0.5564643,0.22491,22.947,8,11.95632,0,3.090777,1,46,76,0,0
-0.5472307,0.2209439,23.15165,8,12.15102,0,3.08653,1,46,76,0,0
-0.5451185,0.2180417,23.29762,8,12.29903,0,3.075837,1,46,76,0,0
-0.5414063,0.2128425,23.39842,8,12.40372,0,3.073715,1,46,76,0,0
-0.538978,0.2047609,23.50603,8,12.47664,0,3.063229,1,45,76,0,0
-0.5383545,0.1997955,23.61669,8,12.47664,0,3.05909,1,43,76,0,0
-0.5437308,0.196885,23.71874,8,12.47664,0,3.0569,1,43,76,0,0
-0.5538654,0.2014661,23.82238,8,12.47664,0,3.048941,1,41,76,0,0
-0.5576631,0.2114627,23.97799,8,12.47664,0,3.046865,1,40,76,0,0
-0.5623986,0.2267254,24.0891,8,12.47664,0,3.037588,1,38,76,0,0
-0.5671822,0.2454772,24.19408,8,12.47664,0,3.034795,1,38,76,0,0
-0.5796574,0.2790951,24.34265,8,12.47664,0,3.064497,1,42,76,0,0
-0.5887033,0.2963787,24.44397,8,12.47664,0,3.057397,1,40,76,0,0
-0.6028778,0.3133418,24.58271,8,12.47664,0,3.052481,1,39,76,0,0
-0.6134799,0.3236395,24.68486,8,12.47664,0,3.047474,1,38,76,0,0
-0.6162981,0.3226136,24.81506,8,12.47664,0,3.040638,1,38,76,0,0
-0.619996,0.3201456,24.92046,8,12.47664,0,3.036588,1,38,76,0,0
-0.6238244,0.3151771,25.02094,8,12.47664,0,3.036588,1,38,76,0,0
-0.6234646,0.3040621,25.13478,8,12.47664,0,3.024666,1,37,76,0,0
-0.6161088,0.2883269,25.23816,8,12.47664,0,3.019595,1,37,76,0,0
-0.6029167,0.2617802,25.37206,8,12.47664,0,3.019595,1,37,76,0,0
-0.5946192,0.2411095,25.4796,8,12.47664,0,3.008211,1,38,76,0,0
-0.582565,0.2056948,25.58689,8,12.47664,0,3.006165,1,38,76,0,0
-0.581343,0.1613527,25.74057,8,12.47664,0,2.999631,1,37,76,0,0
-0.5832766,0.143448,25.84283,8,12.47664,0,2.994859,1,37,76,0,0
-0.5886357,0.1302211,25.9486,8,12.47664,0,2.988203,1,36,76,0,0
-0.5898578,0.1279455,26.0728,8,12.47664,0,2.983544,1,37,76,0,0
-0.5945083,0.1328165,26.19204,8,12.47664,0,2.980084,1,38,76,0,0
-0.5999917,0.1477264,26.30226,8,12.47664,0,2.975242,1,39,76,0,0
-0.6061202,0.1496142,26.40683,8,12.47664,0,2.975811,1,40,76,0,0
-0.6155625,0.1506475,26.5092,8,12.47664,0,2.974821,1,41,76,0,0
-0.6175553,0.1449713,26.6159,8,12.47664,0,2.974315,1,43,76,0,0
-0.6145464,0.1325516,26.71895,8,12.47664,0,2.975765,1,44,76,0,0
-0.6093346,0.1162782,26.83193,8,12.47664,0,2.975191,1,44,76,0,0
-0.5979064,0.1013561,26.93612,8,12.47664,0,2.975747,1,43,76,0,0
-0.5779681,0.07740466,27.04197,8,12.54692,0,2.977247,1,43,76,0,0
-0.5485967,0.04045044,27.1576,8,12.6609,0,2.977235,1,43,76,0,0
-0.5178565,0.008286699,27.26241,9,12.76602,0,2.978515,1,41,76,0,0
-0.5088991,-0.008007874,27.36619,9,12.87401,0,2.978816,1,39,76,0,0
-0.5060222,-0.01752062,27.47225,9,12.97571,0,2.982287,1,39,76,0,0
-0.5115345,-0.02073855,27.58178,9,13.07689,0,2.989091,1,39,76,0,0
-0.5183292,-0.00806323,27.68762,9,13.18982,0,2.995341,1,39,76,0,0
-0.5142251,0.01791543,27.79478,9,13.29856,0,3.035077,1,41,76,0,0
-0.521381,0.05510959,27.90413,9,13.40796,0,3.038492,1,40,76,0,0
-0.5402264,0.093013,28.04162,9,13.54137,0,3.043899,1,39,76,0,0
-0.566985,0.1360209,28.18877,9,13.68858,0,3.050454,1,39,76,0,0
-0.5907684,0.15642,28.29469,9,13.80236,0,3.057245,1,40,76,0,0
-0.6000433,0.1772328,28.41052,9,13.91642,0,3.062261,1,40,76,0,0
-0.6019585,0.185212,28.51347,9,14.02062,0,3.065144,1,40,76,0,0
-0.6014084,0.2024294,28.61959,9,14.12807,0,3.06929,1,39,76,0,0
-0.588681,0.2177964,28.72704,9,14.23127,0,3.074696,1,38,76,0,0
