position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance,activeScreen,coin(user),coin(no-user),fever,jump
-0.3836175,-0.3403296,16.66811,1,7.623637,0,5.793837,1,60,50,0,0
-0.3836126,-0.3622146,16.78672,2,7.741238,0,5.788548,1,58,50,0,0
-0.3829535,-0.4016944,16.9034,2,7.8598,0,5.785046,1,57,50,0,0
-0.3756421,-0.4294991,17.0236,2,7.978372,0,5.781666,1,57,50,0,0
-0.370252,-0.4749358,17.16469,3,8.123563,0,5.77529,1,56,50,0,0
-0.3596758,-0.4885299,17.26701,3,8.23016,0,5.768424,1,56,50,0,0
-0.341728,-0.5066494,17.39737,4,8.357697,0,5.763819,1,57,50,0,0
-0.3302037,-0.5190758,17.50658,4,8.462722,0,5.758759,1,58,50,0,0
-0.3329209,-0.5231408,17.62082,4,8.571949,0,5.752948,1,58,50,0,0
-0.3366251,-0.5212757,17.72714,4,8.685885,0,5.746199,1,58,50,0,0
-0.352033,-0.5111021,17.87084,4,8.825211,0,5.738523,1,58,50,0,0
-0.3696526,-0.4993449,17.97585,4,8.93384,0,5.730259,1,58,50,0,0
-0.3841391,-0.4906569,18.08109,4,9.038136,0,5.727536,1,58,50,0,0
-0.4102716,-0.4709718,18.2142,4,9.172129,0,5.717188,1,57,50,0,0
-0.4424982,-0.4485683,18.33691,4,9.291694,0,5.712212,1,56,50,0,0
-0.4851561,-0.408181,18.44894,4,9.401801,0,5.703209,1,56,50,0,0
-0.5339551,-0.3710191,18.5583,5,9.514426,0,5.694125,1,55,50,0,0
-0.595889,-0.3399063,18.66158,5,9.616934,0,5.689618,1,55,50,0,0
-0.652339,-0.310154,18.78972,5,9.747999,0,5.684671,1,56,50,0,0
-0.6776671,-0.2794052,18.90967,5,9.856936,0,5.686177,1,56,50,0,0
-0.6773726,-0.2384494,19.02238,5,9.973855,0,5.684824,1,57,50,0,0
-0.6866266,-0.2016828,19.12753,5,10.08377,0,5.682827,1,57,50,0,0
-0.7056202,-0.1670169,19.25437,5,10.19592,0,5.683459,1,57,50,0,0
-0.7006664,-0.1397551,19.37476,5,10.32522,0,5.683308,1,57,50,0,0
-0.6932669,-0.08998113,19.4881,6,10.44543,0,5.683206,1,54,50,0,0
-0.6672548,-0.03324211,19.62084,6,10.558,0,5.683802,1,52,50,0,0
-0.6208939,0.0453135,19.77486,7,10.7336,0,5.683444,1,50,50,0,0
-0.5688956,0.1315591,19.90157,7,10.85774,0,5.682954,1,49,51,0,0
-0.5479773,0.1967252,20.01026,7,10.96959,0,5.682279,1,49,51,0,0
-0.5201272,0.2436766,20.13037,8,11.08417,0,5.682343,1,50,52,0,0
-0.4899164,0.3018471,20.25272,8,11.20873,0,5.681859,1,50,53,0,0
-0.459676,0.3726415,20.37377,8,11.32968,0,5.680895,1,50,53,0,0
-0.4347984,0.4605762,20.51988,8,11.47779,0,5.704754,1,50,52,0,0
-0.4153659,0.5242243,20.62934,8,11.58313,0,5.705782,1,50,52,0,0
-0.4063877,0.5763442,20.73594,8,11.69721,0,5.703844,1,50,52,0,0
-0.3865299,0.6344326,20.84425,9,11.8011,0,5.704572,1,50,52,0,0
-0.3852541,0.6740271,20.9918,9,11.9483,0,5.633662,1,48,54,0,0
-0.3828608,0.6934959,21.12421,10,12.08341,0,5.632629,1,46,54,0,0
-0.3736492,0.7086926,21.2361,10,12.19466,0,5.632132,1,46,54,0,0
-0.3542129,0.720984,21.36643,11,12.32672,0,5.625515,1,50,54,0,0
-0.3322994,0.7259262,21.47294,11,12.42918,0,5.622537,1,50,54,0,0
-0.2925198,0.7327195,21.5792,11,12.53549,0,5.616993,1,50,54,0,0
-0.2383222,0.7279824,21.70812,12,12.67144,0,5.608826,1,50,54,0,0
-0.1757025,0.7125652,21.81157,12,12.76778,0,5.602846,1,50,54,0,0
-0.0932371,0.6940196,21.92143,12,12.87635,0,5.597287,1,50,54,0,0
-0.01377677,0.6637781,22.06714,13,13.02966,0,5.588364,1,49,55,0,0
0.03666938,0.6364079,22.1677,13,13.12362,0,5.582816,1,49,55,0,0
0.06369112,0.603888,22.27104,14,13.23153,0,5.577063,1,48,55,0,0
0.07310364,0.5669545,22.38145,14,13.33846,0,5.571944,1,48,54,0,0
0.08043843,0.5043234,22.49312,15,13.44182,0,5.565114,1,47,54,0,0
0.07952037,0.447482,22.60487,15,13.55676,0,5.559026,1,47,54,0,0
0.06131054,0.3637564,22.73983,16,13.69699,0,5.551755,1,47,55,0,0
0.05053617,0.2923381,22.87053,16,13.83324,0,5.545179,1,47,54,0,0
0.0521805,0.2383337,22.9789,16,13.93757,0,5.539937,1,47,54,0,0
0.0470682,0.1718452,23.1609,17,14.11702,0,5.531856,1,48,54,0,0
0.04617908,0.1525616,23.35833,18,14.32062,0,5.521348,1,44,55,0,0
0.05045442,0.1566405,23.46388,18,14.42348,0,5.513491,1,43,55,0,0
0.06229015,0.1756007,23.56656,18,14.52603,0,5.508449,1,42,55,0,0
0.06790209,0.2133556,23.68334,19,14.6406,0,5.502381,1,41,54,0,0
0.06567664,0.2488708,23.79455,19,14.75272,0,5.496319,1,40,54,0,0
0.06838511,0.2543872,23.90323,20,14.85683,0,5.494102,1,40,54,0,0
0.09152467,0.2456806,24.02171,20,14.97889,0,5.467022,1,41,54,0,0
0.09285795,0.2128578,24.12815,20,15.08846,0,5.460554,1,41,55,0,0
0.08256228,0.1956132,24.24653,21,15.19919,0,5.454587,1,40,56,0,0
0.07221293,0.172005,24.37981,21,15.33842,0,5.447281,1,40,58,0,0
0.05465818,0.1598918,24.57372,21,15.53069,0,5.415761,1,40,54,0,0
0.05791441,0.1651938,24.67609,22,15.63971,0,5.407473,1,37,60,0,0
0.06118062,0.1774232,24.82305,22,15.76793,0,5.406847,1,38,60,0,0
0.06872772,0.1822295,24.95103,23,15.9139,0,5.399059,1,38,64,0,0
0.07038438,0.1803663,25.06009,23,16.01793,0,5.393082,1,40,64,0,0
0.06700873,0.1817234,25.18893,24,16.15208,0,5.387636,1,41,64,0,0
