position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance,activeScreen,coin(user),coin(no-user),fever,jump
0.1742928,1.088297,14.02558,3,7.052296,0,3.154618,1,60,76,0,0
0.1814528,1.111869,14.14325,3,7.170073,0,3.148633,1,59,76,0,0
0.2128447,1.158247,14.28964,3,7.32049,0,3.139929,1,59,76,0,0
0.2590519,1.189442,14.39204,4,7.422609,0,3.133731,1,59,76,0,0
0.3020724,1.218762,14.50726,4,7.532599,0,3.128785,1,61,76,0,0
0.340317,1.248067,14.65642,5,7.687627,0,3.116384,1,60,76,0,0
0.3588652,1.276464,14.75857,5,7.790447,0,3.11381,1,60,76,0,0
0.361682,1.298129,14.85913,5,7.891539,0,3.107731,1,60,76,0,0
0.3598478,1.33148,15.01034,6,8.036653,0,3.098897,1,60,76,0,0
0.352087,1.370538,15.16122,6,8.187304,0,3.090378,1,59,76,0,0
0.3470064,1.405424,15.26247,6,8.289151,0,3.084079,1,52,76,0,0
0.3324065,1.434891,15.38036,7,8.406271,0,3.078999,1,52,76,0,0
0.3228649,1.46267,15.48438,7,8.50957,0,3.073078,1,51,76,0,0
0.2851504,1.49864,15.63033,7,8.660695,0,3.061561,1,51,76,0,0
0.2759363,1.518968,15.73557,8,8.762604,0,3.059192,1,51,76,0,0
0.2655791,1.546216,15.84559,8,8.875055,0,3.050886,1,53,76,0,0
0.2666637,1.568494,15.95071,9,8.978834,0,3.044765,1,53,76,0,0
0.2675605,1.594079,16.06463,9,9.094442,0,3.040196,1,52,76,0,0
0.2676629,1.613703,16.17391,9,9.20568,0,3.034291,1,52,76,0,0
0.2680811,1.62998,16.28302,10,9.305725,0,3.028202,1,52,76,0,0
0.2503772,1.655223,16.38525,10,9.417467,0,3.019894,1,51,76,0,0
0.2296162,1.686223,16.49244,10,9.524242,0,3.013878,1,51,76,0,0
0.20512,1.71453,16.59557,10,9.62302,0,3.009035,1,49,76,0,0
0.1565315,1.731637,16.70191,10,9.72815,0,3.002975,1,49,76,0,0
0.1074487,1.733605,16.80849,10,9.842288,0,2.994842,1,49,76,0,0
0.04779004,1.735338,16.91375,10,9.942961,0,2.992241,1,49,76,0,0
0.01837717,1.737226,17.02046,10,10.04833,0,2.973749,1,49,76,0,0
-0.02261028,1.723865,17.12296,10,10.15149,0,2.96798,1,51,76,0,0
-0.03528127,1.724269,17.22604,10,10.2562,0,2.965718,1,53,76,0,0
-0.02631889,1.726423,17.34046,10,10.36953,0,2.957561,1,56,76,0,0
-0.02062326,1.736141,17.4459,10,10.48087,0,2.951969,1,56,76,0,0
-0.01586285,1.750772,17.5521,10,10.58199,0,2.946309,1,56,76,0,0
-0.004163567,1.780864,17.70769,10,10.7329,0,2.938044,1,57,76,0,0
0.00464114,1.799004,17.86158,11,10.88747,0,2.92997,1,57,76,0,0
0.005768788,1.815091,17.96277,11,10.99257,0,2.924171,1,56,76,0,0
-0.004166593,1.830747,18.08249,11,11.1002,0,2.919404,1,56,76,0,0
-0.01319865,1.850075,18.1868,12,11.21778,0,2.911401,1,56,76,0,0
-0.02293649,1.876527,18.28806,12,11.32159,0,2.905512,1,54,76,0,0
-0.0324243,1.90916,18.39264,12,11.42363,0,2.899743,1,54,76,0,0
-0.04342129,1.943267,18.49473,12,11.52266,0,2.89421,1,54,76,0,0
-0.0571157,1.986208,18.63768,12,11.67247,0,2.885925,1,55,76,0,0
-0.06984054,2.012235,18.74999,12,11.77232,0,2.881308,1,55,76,0,0
-0.07343595,2.045842,18.85126,13,11.87839,0,2.875566,1,55,76,0,0
-0.07604053,2.070414,18.95262,13,11.98576,0,2.870077,1,54,76,0,0
-0.08305376,2.116148,19.05344,13,12.08713,0,2.865397,1,53,76,0,0
-0.09637304,2.155008,19.1999,14,12.2275,0,2.857744,1,51,76,0,0
-0.1048537,2.176376,19.30161,14,12.33378,0,2.852382,1,49,76,0,0
-0.1262906,2.192948,19.40789,14,12.43653,0,2.847185,1,49,76,0,0
-0.1606102,2.201646,19.51819,14,12.54482,0,2.841981,1,48,76,0,0
-0.2438737,2.203577,19.67195,14,12.69748,0,2.832376,1,47,76,0,0
-0.316974,2.191483,19.7768,14,12.80375,0,2.827002,1,47,76,0,0
-0.3722674,2.170993,19.88315,15,12.91038,0,2.82184,1,47,76,0,0
-0.4542952,2.146476,19.99175,15,13.01523,0,2.819869,1,45,76,0,0
-0.4882466,2.137648,20.09672,15,13.12483,0,2.81292,1,45,76,0,0
-0.5131333,2.132934,20.20421,15,13.23824,0,2.807814,1,45,76,0,0
-0.5311753,2.130554,20.30652,15,13.33527,0,2.805793,1,44,76,0,0
-0.5457978,2.134421,20.41246,15,13.43919,0,2.798916,1,45,76,0,0
-0.5513545,2.136641,20.52198,15,13.5454,0,2.7938,1,45,76,0,0
-0.5505677,2.135967,20.62539,15,13.65377,0,2.796232,1,45,76,0,0
-0.5475041,2.133387,20.7313,15,13.76298,0,2.789177,1,45,76,0,0
-0.5426749,2.134254,20.83623,15,13.86448,0,2.784282,1,44,76,0,0
-0.5361729,2.136285,20.95043,15,13.97377,0,2.779344,1,45,76,0,0
-0.523944,2.144333,21.05339,15,14.08552,0,2.775313,1,45,76,0,0
-0.5040165,2.153198,21.15862,15,14.189,0,2.77021,1,46,76,0,0
-0.4670424,2.171429,21.26228,15,14.29088,0,2.765258,1,47,76,0,0
-0.3741824,2.204374,21.40933,15,14.44021,0,2.758344,1,48,76,0,0
-0.2877373,2.231094,21.51394,15,14.44021,0,2.753276,1,48,76,0,0
-0.1964511,2.250631,21.62992,15,14.44021,0,2.746256,1,48,76,0,0
-0.1315978,2.258833,21.73409,15,14.44021,0,2.742781,1,50,76,0,0
-0.08057564,2.277479,21.83521,15,14.44021,0,2.739123,1,50,76,0,0
-0.04771219,2.2775,21.93638,15,14.48562,0,2.737586,1,51,76,0,0
-0.03485743,2.275803,22.04002,15,14.59423,0,2.737504,1,53,76,0,0
-0.01866805,2.280158,22.1464,15,14.69776,0,2.737187,1,54,76,0,0
-0.01107099,2.295357,22.30046,15,14.85065,0,2.738058,1,56,76,0,0
-0.01779536,2.315442,22.41339,15,14.96892,0,2.738447,1,55,76,0,0
-0.02164792,2.338781,22.51752,15,15.07025,0,2.739795,1,55,76,0,0
-0.02238475,2.348701,22.62037,16,15.17143,0,2.740124,1,55,76,0,0
-0.03070217,2.381527,22.76977,16,15.32399,0,2.740461,1,53,76,0,0
-0.02911628,2.396312,22.88016,16,15.43126,0,2.740969,1,52,76,0,0
-0.03085609,2.42253,23.00651,16,15.54965,0,2.741129,1,52,76,0,0
-0.03964939,2.441386,23.1261,16,15.6752,0,2.746529,1,52,76,0,0
-0.04323491,2.461171,23.24083,16,15.78254,0,2.750777,1,52,76,0,0
-0.04853161,2.471436,23.35619,16,15.90725,0,2.757304,1,50,76,0,0
-0.04188809,2.481575,23.47318,16,16.01562,0,2.762608,1,49,76,0,0
-0.03600754,2.496672,23.5897,17,16.13725,0,2.770111,1,46,76,0,0
-0.02587279,2.515346,23.70539,17,16.25196,0,2.773207,1,43,76,0,0
-0.002042962,2.531104,23.829,17,16.36925,0,2.780464,1,41,76,0,0
0.04400115,2.522694,23.98122,17,16.53318,0,2.789116,1,38,76,0,0
0.105125,2.515855,24.0904,17,16.63948,0,2.790153,1,38,76,0,0
0.1599505,2.515912,24.21067,17,16.76045,0,2.796193,1,37,76,0,0
0.2083301,2.513613,24.32041,17,16.87095,0,2.801701,1,37,76,0,0
0.2547374,2.51442,24.42403,17,16.97985,0,2.803985,1,37,76,0,0
0.3005491,2.505383,24.54663,17,17.09252,0,2.794097,1,36,76,0,0
0.3191546,2.498038,24.66963,18,17.21767,0,2.797928,1,36,76,0,0
0.3315107,2.50005,24.77915,18,17.32709,0,2.80211,1,35,76,0,0
0.3544373,2.508306,24.88927,18,17.44068,0,2.802552,1,35,76,0,0
