position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance
-2.974104,-6.195187,20.20967,2,6.106202,0,5.325182
-2.974065,-6.191938,20.323,2,6.219876,0,5.321226
-2.986675,-6.165171,20.43568,3,6.336551,0,5.301097
-2.983825,-6.141512,20.54748,3,6.446007,0,5.281861
-2.993966,-6.117409,20.65875,4,6.556508,0,5.26813
-3.02851,-6.047925,20.79818,4,6.682044,0,5.252975
-3.077903,-5.956999,20.90352,5,6.800732,0,5.238878
-3.107256,-5.924399,21.01048,5,6.912614,0,5.224969
-3.139106,-5.855123,21.12687,5,7.022854,0,5.199652
-3.128378,-5.832545,21.2351,6,7.139128,0,5.184812
-3.098944,-5.775451,21.34444,6,7.242108,0,5.165323
-3.062548,-5.723682,21.46109,7,7.357713,0,5.146754
-3.0529,-5.708783,21.56951,7,7.472322,0,5.136311
-3.005666,-5.647611,21.67818,7,7.576149,0,5.116783
-2.95947,-5.626655,21.80344,7,7.693415,0,5.102545
-2.931963,-5.608036,21.94228,7,7.826962,0,5.082737
-2.923463,-5.59213,22.05041,7,7.953368,0,5.06592
-2.921633,-5.565724,22.16288,7,8.061057,0,5.053396
-2.946769,-5.565474,22.27304,7,8.172268,0,5.039018
-2.972541,-5.56708,22.38742,7,8.292946,0,5.021927
-2.984714,-5.564111,22.50614,7,8.400689,0,5.004641
-2.993865,-5.559606,22.62698,7,8.524283,0,4.990389
-2.99981,-5.562155,22.73835,7,8.63758,0,4.974428
-3.000897,-5.568924,22.87691,7,8.759423,0,4.953219
-2.999305,-5.574559,22.97753,7,8.881546,0,4.947629
-2.997173,-5.585013,23.08057,7,8.985839,0,4.929137
-2.995967,-5.600029,23.20504,7,9.101865,0,4.917732
-2.995584,-5.608359,23.32351,7,9.217401,0,4.896407
-2.993989,-5.615576,23.43179,7,9.332232,0,4.880819
-2.987128,-5.61195,23.55588,7,9.452858,0,4.896128
-2.968209,-5.594007,23.66211,7,9.563721,0,4.880372
-2.943867,-5.569243,23.78769,7,9.678882,0,4.866133
-2.925372,-5.539309,23.90488,7,9.802091,0,4.84917
-2.921007,-5.521278,24.0156,7,9.860905,0,4.83609
-2.912202,-5.511632,24.12284,7,9.860905,0,4.821771
-2.902505,-5.511778,24.24268,7,9.860905,0,4.804647
-2.889302,-5.507081,24.34738,7,9.860905,0,4.788962
-2.879236,-5.504328,24.45536,7,9.860905,0,4.777957
-2.876519,-5.507421,24.56753,7,9.860905,0,4.773873
-2.872412,-5.512228,24.69806,7,9.860905,0,4.744057
-2.876923,-5.513493,24.80503,7,9.860905,0,4.731334
-2.886468,-5.51673,24.92476,7,9.860905,0,4.711726
-2.89326,-5.523388,25.03079,7,9.860905,0,4.697515
-2.897277,-5.526384,25.14289,7,9.860905,0,4.683736
-2.906765,-5.530565,25.25372,7,9.860905,0,4.667178
-2.907805,-5.520348,25.36271,7,9.860905,0,4.654719
-2.900115,-5.516494,25.46724,7,9.860905,0,4.644519
-2.856611,-5.515295,25.65568,7,9.860905,0,4.617942
-2.809156,-5.514415,25.75725,7,9.860905,0,4.60694
-2.772268,-5.527875,25.86842,7,9.860905,0,4.591111
-2.709585,-5.535565,25.98322,7,9.860905,0,4.5732
-2.631089,-5.545212,26.09248,7,9.860905,0,4.556452
-2.588055,-5.554264,26.20867,7,9.860905,0,4.548159
-2.495667,-5.594638,26.32201,7,9.860905,0,4.53156
