position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance,activeScreen,coin(user),coin(no-user),fever,jump
1.361753,0.5973337,34.80868,8,11.15672,0,5.614297,1,57,52,0,0
1.344391,0.5750095,34.94085,8,11.28575,0,5.610852,1,57,52,0,0
1.308582,0.5481156,35.05049,8,11.3854,0,5.604835,1,57,52,0,0
1.245557,0.5065843,35.17935,8,11.52478,0,5.601201,1,57,52,0,0
1.200752,0.465009,35.30426,8,11.6496,0,5.597211,1,57,52,0,0
1.158023,0.4183738,35.43321,9,11.78154,0,5.593982,1,56,52,0,0
1.12535,0.3696216,35.56841,9,11.90676,0,5.590586,1,56,52,0,0
1.123901,0.3488078,35.71174,10,12.05384,0,5.586985,1,55,52,0,0
1.140783,0.3118808,35.83788,10,12.18574,0,5.58796,1,53,52,0,0
1.14048,0.3068565,35.97356,10,12.31252,0,5.593543,1,53,52,0,0
1.151485,0.2829846,36.10355,11,12.4485,0,5.59468,1,52,52,0,0
1.151203,0.279429,36.23489,11,12.5859,0,5.592197,1,51,51,0,0
1.144108,0.2738328,36.35873,11,12.7075,0,5.587116,1,51,52,0,0
1.137787,0.2702766,36.46964,12,12.82376,0,5.580276,1,53,53,0,0
1.126157,0.2622801,36.59145,12,12.94223,0,5.574458,1,53,52,0,0
1.116015,0.2583422,36.71848,12,13.06682,0,5.567834,1,53,52,0,0
1.085463,0.2528616,36.8512,12,13.20436,0,5.559204,1,53,52,0,0
1.030472,0.2436579,36.98801,12,13.33269,0,5.551039,1,53,52,0,0
0.9734651,0.2248809,37.1111,12,13.46018,0,5.537978,1,52,52,0,0
0.9359226,0.2122619,37.24166,13,13.58788,0,5.5234,1,46,52,0,0
0.9165168,0.1963008,37.37982,13,13.71763,0,5.525832,1,45,52,0,0
0.911373,0.182589,37.5113,13,13.8559,0,5.524744,1,45,52,0,0
0.9269764,0.1718011,37.63608,13,13.98528,0,5.524198,1,45,53,0,0
0.9451004,0.1683293,37.75507,13,14.0995,0,5.523991,1,47,54,0,0
0.9547874,0.1812584,37.88369,13,14.23048,0,5.526492,1,48,54,0,0
0.9542097,0.2133877,38.01431,14,14.36628,0,5.524367,1,47,54,0,0
0.931731,0.2804553,38.13216,14,14.48399,0,5.525443,1,47,55,0,0
0.887392,0.3750989,38.25766,14,14.60844,0,5.524676,1,47,55,0,0
0.8767881,0.4041053,38.38461,14,14.73154,0,5.52328,1,47,55,0,0
0.8694818,0.4595828,38.5136,14,14.86127,0,5.521901,1,45,54,0,0
0.8933166,0.5020476,38.65207,14,15.00139,0,5.520748,1,45,54,0,0
0.9264333,0.5518945,38.77689,14,15.12782,0,5.519221,1,45,55,0,0
0.9666082,0.5981752,38.9066,14,15.25129,0,5.51882,1,45,55,0,0
0.9913762,0.633585,39.03328,14,15.3819,0,5.522069,1,47,55,0,0
0.9999956,0.6653267,39.17328,14,15.50882,0,5.520725,1,47,55,0,0
0.9972367,0.7004475,39.30862,14,15.65034,0,5.52147,1,45,55,0,0
0.9723518,0.7453333,39.44163,14,15.78897,0,5.466596,1,45,57,0,0
0.9424859,0.764907,39.5701,14,15.92224,0,5.469378,1,45,57,0,0
0.9094549,0.784309,39.6931,14,16.04263,0,5.470233,1,46,57,0,0
0.8918272,0.7960877,39.8316,14,16.17754,0,5.469491,1,51,56,0,0
0.8784629,0.8069087,39.95867,14,16.30845,0,5.470644,1,52,56,0,0
0.8783104,0.8137685,40.08391,14,16.43267,0,5.464602,1,52,56,1,0
0.8861794,0.8165872,40.20171,19,16.54978,0,5.45951,1,52,56,1,0
0.8980563,0.8164079,40.32414,19,16.67288,0,5.455005,1,51,56,1,0
0.9248181,0.8143634,40.45525,19,16.79721,0,5.445901,1,51,57,1,0
0.956347,0.8107961,40.58789,19,16.93052,0,5.437275,1,50,57,1,0
1.003673,0.8021566,40.71885,19,17.06747,0,5.431712,1,49,56,1,0
1.043149,0.7822737,40.84872,19,17.19797,0,5.423632,1,49,56,1,0
1.053155,0.7785289,40.9794,24,17.31533,0,5.418173,1,50,57,1,0
1.06559,0.7788319,41.10901,24,17.45942,0,5.409113,1,49,56,1,0
1.067483,0.7937301,41.2334,24,17.58153,0,5.402521,1,50,56,1,0
1.068888,0.834123,41.39072,24,17.74035,0,5.394641,1,51,58,1,0
1.05533,0.8758255,41.52007,24,17.86925,0,5.3912,1,51,58,1,0
1.041977,0.9150466,41.64551,24,17.99673,0,5.382244,1,51,59,1,0
1.010038,0.9821324,41.8106,29,18.16174,0,5.375139,1,46,62,1,0
0.9963623,1.038008,41.93202,29,18.28467,0,5.368113,1,43,62,1,0
0.9964983,1.059514,42.06183,29,18.40553,0,5.363066,1,40,62,1,0
1.000796,1.094632,42.20752,34,18.5434,0,5.357393,1,40,63,1,0
1.011114,1.106545,42.33406,34,18.68784,0,5.349708,1,40,65,1,0
1.005699,1.130703,42.47031,34,18.81554,0,5.332258,1,41,65,1,0
0.9864438,1.153577,42.59992,34,18.94458,0,5.324204,1,40,64,1,0
