position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance,activeScreen,coin(user),coin(no-user),fever,jump
0.4729702,17.66576,28.27659,21,19.41767,0,6.075943,1,41,40,0,0
0.4799857,17.61927,28.40023,21,19.41767,0,6.087517,1,41,36,0,0
0.4830213,17.60842,28.52717,21,19.41767,0,6.095467,1,42,37,0,0
0.4864799,17.60828,28.62745,21,19.41767,0,6.104202,1,42,38,0,0
0.5036677,17.59986,28.74504,21,19.41767,0,6.110292,1,41,38,0,0
0.5539557,17.59188,28.86696,21,19.41767,0,6.11592,1,42,37,0,0
0.6404421,17.60983,28.98931,21,19.41767,0,6.120893,1,42,37,0,0
0.707707,17.64064,29.09004,21,19.41767,0,6.121284,1,42,37,0,0
0.8198305,17.71265,29.24611,21,19.41767,0,6.125534,1,44,36,0,0
0.9385946,17.7471,29.37412,21,19.41767,0,6.097953,1,44,37,0,0
1.034096,17.76571,29.49743,21,19.41767,0,6.100357,1,44,37,0,0
1.125285,17.74424,29.59986,21,19.41767,0,6.102002,1,45,37,0,0
1.228317,17.7336,29.72499,21,19.41767,0,6.104546,1,46,36,0,0
1.359961,17.75655,29.85229,21,19.4516,0,6.125126,1,46,35,0,0
1.418391,17.79291,29.97364,21,19.57203,0,6.127341,1,46,36,0,0
1.474406,17.85127,30.11011,21,19.70935,0,6.129537,1,47,36,0,0
1.513182,17.89523,30.23225,22,19.83291,0,6.130841,1,46,36,0,0
1.546265,17.91705,30.35576,22,19.95739,0,6.132877,1,47,36,0,0
1.575665,17.95602,30.45705,22,20.05057,0,6.13558,1,48,36,0,0
1.633737,18.00628,30.57983,22,20.17753,0,6.139179,1,49,35,0,0
1.679767,18.03883,30.70382,23,20.30606,0,6.144903,1,47,36,0,0
1.698518,18.04015,30.83649,23,20.43243,0,6.153514,1,47,36,0,0
1.714323,18.02581,30.94217,24,20.53053,0,6.161065,1,47,35,0,0
1.74682,17.99486,31.06934,24,20.6707,0,6.17566,1,48,34,0,0
1.786735,17.98838,31.18965,25,20.79031,0,6.186673,1,48,32,0,0
1.802086,18.00112,31.3184,25,20.91809,0,6.201936,1,47,32,0,0
1.799079,18.05574,31.4486,25,21.04897,0,6.220606,1,47,31,0,0
1.791496,18.14901,31.56874,26,21.16685,0,6.223874,1,46,31,0,0
1.786318,18.23713,31.69182,26,21.29403,0,6.238746,1,48,30,0,0
1.770034,18.31946,31.8134,27,21.414,0,6.254564,1,47,30,0,0
1.739702,18.37007,31.91543,27,21.51309,0,6.322752,1,46,23,0,0
1.686394,18.42334,32.03713,28,21.638,0,6.330753,1,46,23,0,0
1.625395,18.46889,32.1595,28,21.75692,0,6.343696,1,46,23,0,0
1.528003,18.50235,32.28549,28,21.88478,0,6.34843,1,47,22,0,0
1.461926,18.51786,32.41636,29,22.01394,0,6.360235,1,46,21,0,0
1.367157,18.5531,32.54222,29,22.1406,0,6.365303,1,46,20,0,0
1.270225,18.59916,32.66757,29,22.26767,0,6.38147,1,46,20,0,0
1.183507,18.59167,32.79648,29,22.38996,0,6.390694,1,47,21,0,0
1.094853,18.54861,32.94861,29,22.54784,0,6.405252,1,48,20,0,0
1.031796,18.50688,33.10335,29,22.70613,0,6.416662,1,48,20,0,0
0.9853263,18.51131,33.231,29,22.82937,0,6.431872,1,48,21,0,0
0.9141651,18.49851,33.33565,29,22.93495,0,6.44035,1,48,21,0,0
0.8472388,18.50743,33.45942,29,23.05913,0,6.442161,1,49,22,0,0
0.8083779,18.50653,33.57736,29,23.17898,0,6.451761,1,48,23,0,0
0.8013685,18.48114,33.7044,29,23.3054,0,6.464744,1,48,24,0,0
0.7906051,18.50253,33.80866,29,23.4061,0,6.478169,1,48,24,0,0
0.7969859,18.53608,33.93444,29,23.53246,0,6.500582,1,48,25,0,0
0.8047807,18.56991,34.05809,30,23.59784,0,6.516323,1,47,23,0,0
0.8247764,18.60818,34.18651,30,23.59784,0,6.544754,1,48,27,0,0
0.8410064,18.62601,34.28909,30,23.59784,0,6.562079,1,47,26,0,0
0.8508075,18.64907,34.44927,30,23.59784,0,6.574158,1,46,26,0,0
0.8219554,18.63041,34.59816,30,23.59784,0,6.601139,1,45,27,0,0
0.8065748,18.59653,34.7187,30,23.59784,0,6.619383,1,45,28,0,0
0.7755866,18.55294,34.82243,30,23.59784,0,6.633101,1,44,29,0,0
0.7542027,18.53392,34.94447,30,23.59784,0,6.638049,1,43,30,0,0
0.7445043,18.53621,35.05886,30,23.59784,0,6.658533,1,43,31,0,0
0.7217509,18.52693,35.17797,30,23.59784,0,6.677745,1,43,31,0,0
0.7231982,18.55247,35.28306,30,23.59784,0,6.681625,1,42,31,0,0
0.739154,18.58433,35.48787,30,23.59784,0,6.707489,1,42,31,0,0
0.7835495,18.58681,35.61965,30,23.59784,0,6.737357,1,43,31,0,0
0.8864173,18.6035,35.80337,30,23.59784,0,6.749473,1,43,32,0,0
0.9405755,18.64825,35.9257,30,23.59784,0,6.810423,1,41,36,0,0
1.013991,18.72188,36.1087,30,23.59784,0,6.818241,1,40,38,0,0
1.035423,18.79109,36.29291,30,23.59784,0,6.833476,1,42,38,0,0
1.045097,18.84917,36.41847,30,23.59784,0,6.849575,1,42,39,0,0
1.000513,18.93369,36.57076,30,23.59784,0,6.857752,1,44,38,0,0
0.9692956,18.96585,36.72723,30,23.59784,0,6.86814,1,44,38,0,0
0.9676448,19.00113,36.92093,30,23.59784,0,6.862174,1,44,38,0,0
0.959722,19.05198,37.12624,30,23.59784,0,6.873102,1,44,38,0,0
0.9630647,19.05353,37.25142,30,23.59784,0,6.880519,1,42,39,0,0
0.9302582,18.99831,37.36152,30,23.59784,0,6.852755,1,47,40,0,0
0.9027225,18.90683,37.53802,30,23.59784,0,6.858844,1,47,40,0,0
0.8959557,18.78694,37.74511,30,23.59784,0,6.861293,1,49,40,0,0
0.9354661,18.70367,37.93348,30,23.59784,0,6.86919,1,47,40,0,0
1.044396,18.63398,38.14033,30,23.59784,0,6.872429,1,48,41,0,0
1.086213,18.66845,38.24883,30,23.59784,0,6.874652,1,48,41,0,0
1.150712,18.68619,38.3733,30,23.59784,0,6.899509,1,45,41,0,0
1.281243,18.72252,38.55859,30,23.59784,0,6.902271,1,49,41,0,0
1.36995,18.78947,38.74736,30,23.59784,0,6.900796,1,59,42,0,0
1.432456,18.8648,38.87463,30,23.59784,0,6.903636,1,57,45,0,0
1.437746,18.9643,38.99939,30,23.59784,0,6.901254,1,57,46,0,0
1.407593,19.0654,39.18612,30,23.59784,0,6.899313,1,58,48,0,0
1.344958,19.13686,39.36558,30,23.71095,0,6.8887,1,60,51,0,0
1.276133,19.30118,39.49849,30,23.84167,0,6.882608,1,60,52,0,0
1.257455,19.42334,39.63554,31,23.97181,0,6.878664,1,61,52,0,0
1.262003,19.49422,39.75935,31,24.1042,0,6.872997,1,63,52,0,0
1.282833,19.60996,39.88637,31,24.23104,0,6.862706,1,64,53,0,0
1.303145,19.70774,40.00941,31,24.35417,0,6.857561,1,65,54,0,0
1.301488,19.78295,40.10969,31,24.44896,0,6.850955,1,67,54,0,0
1.280886,19.85158,40.21681,31,24.55314,0,6.839095,1,68,55,0,0
1.238178,19.90272,40.3513,31,24.55314,0,6.833039,1,68,54,0,0
1.183682,19.96782,40.46285,31,24.55314,0,6.823951,1,68,54,0,0
1.109272,20.05912,40.57308,31,24.55314,0,6.811489,1,70,55,0,0
1.023911,20.14051,40.70081,31,24.55314,0,6.805207,1,70,55,0,0
0.9531674,20.16338,40.83418,31,24.55314,0,6.790509,1,69,55,0,0
0.8904192,20.1491,40.93723,31,24.55314,0,6.807621,1,67,55,0,0
0.8127145,20.09516,41.10852,32,24.55314,0,6.793805,1,69,54,0,0
0.8309705,20.04372,41.23991,32,24.55314,0,6.784945,1,69,55,0,0
0.8100248,19.99525,41.37009,33,24.55314,0,6.756425,1,69,56,0,0
0.8123667,19.93872,41.50195,33,24.55314,0,6.743353,1,70,56,0,0
0.7870101,19.91978,41.60679,33,24.55314,0,6.727464,1,71,56,0,0
0.7775041,19.88879,41.73107,34,24.55314,0,6.716062,1,72,58,0,0
0.7052243,19.87151,41.86229,34,24.55314,0,6.686036,1,73,57,0,0
0.6493926,19.87412,41.98856,34,24.64997,0,6.673584,1,73,57,0,0
0.6157928,19.88856,42.09484,34,24.74687,0,6.657789,1,72,56,0,0
0.5305166,19.93083,42.25675,34,24.91658,0,6.642024,1,71,56,0,0
0.4763905,19.98223,42.38367,35,25.04246,0,6.625612,1,71,56,0,0
0.3862835,20.01492,42.53985,35,25.2034,0,6.601583,1,72,57,0,0
0.3650332,20.0186,42.64082,35,25.30062,0,6.583813,1,70,57,0,0
0.3388327,20.01167,42.76929,36,25.42925,0,6.56602,1,71,55,0,0
0.315713,19.99051,42.9001,36,25.55989,0,6.547397,1,71,56,0,0
0.3083976,19.97128,43.02118,36,25.68219,0,6.528769,1,73,57,0,0
0.2917215,19.9697,43.12468,36,25.78158,0,6.514259,1,75,57,0,0
0.294326,19.94273,43.24878,37,25.90901,0,6.498188,1,73,58,0,0
0.2889823,19.92775,43.37873,37,26.03329,0,6.479834,1,73,58,0,0
0.3002428,19.91892,43.50559,38,26.16861,0,6.455301,1,76,58,0,0
0.3178459,19.9139,43.60793,38,26.26795,0,6.446882,1,76,58,0,0
0.3082632,19.91475,43.73124,38,26.35967,0,6.420255,1,77,59,0,0
0.3078679,19.91654,43.85857,38,26.35967,0,6.397324,1,79,60,0,0
0.3044698,19.91809,43.98436,38,26.35967,0,6.370635,1,82,61,0,0
0.2893529,19.93395,44.08897,38,26.35967,0,6.358758,1,82,59,0,0
0.2797979,19.94562,44.22129,38,26.35967,0,6.332112,1,81,61,0,0
0.2830783,19.95484,44.34963,38,26.35967,0,6.271924,1,85,63,0,0
0.2736337,19.96209,44.4801,38,26.35967,0,6.249817,1,84,61,0,0
0.2733883,19.97009,44.58661,38,26.35967,0,6.230242,1,85,62,0,0
0.2479817,19.99499,44.71602,38,26.35967,0,6.205654,1,85,62,0,0
0.2464653,19.98997,44.8181,38,26.35967,0,6.181913,1,86,62,0,0
0.2424258,19.97959,44.94715,38,26.35967,0,6.152924,1,83,62,0,0
0.2491151,19.98202,45.10933,38,26.35967,0,6.133689,1,84,61,0,0
0.2482943,19.97565,45.23093,39,26.48148,0,6.103983,1,85,62,0,0
0.2579189,19.97369,45.36004,39,26.61073,0,6.08355,1,83,62,0,0
0.2742137,19.96968,45.48004,40,26.73066,0,6.052481,1,84,63,0,0
0.295961,19.95665,45.63935,41,26.88892,0,6.020221,1,84,62,0,0
0.3166303,19.95937,45.7692,41,27.01803,0,5.989005,1,85,63,0,0
0.360207,19.98342,45.89727,41,27.1468,0,5.904002,1,86,65,0,0
0.3852205,20.02399,46.02362,41,27.27194,0,5.871113,1,85,65,0,0
0.3846824,20.07359,46.12782,42,27.37825,0,5.847444,1,84,65,0,0
0.3749618,20.1024,46.25393,42,27.50237,0,5.818016,1,84,64,0,0
0.3406921,20.14839,46.38094,42,27.63295,0,5.789624,1,84,65,0,0
0.3080756,20.20184,46.48211,42,27.73063,0,5.766976,1,84,64,0,0
0.2745453,20.26801,46.58386,42,27.82416,0,5.750131,1,83,64,0,0
0.249835,20.3173,46.68583,42,27.93801,0,5.723074,1,83,65,0,0
0.2374171,20.35221,46.81512,42,28.0635,0,5.68889,1,83,63,0,0
0.2513388,20.37708,46.93642,42,28.18649,0,5.666887,1,83,65,0,0
0.2873664,20.40357,47.07539,42,28.32558,0,5.638079,1,84,64,0,0
0.3215765,20.43213,47.19845,42,28.44693,0,5.598895,1,82,64,0,0
0.3387057,20.46806,47.32442,42,28.57585,0,5.57578,1,81,66,0,0
0.3392842,20.49884,47.44851,42,28.70101,0,5.552237,1,79,65,0,0
0.3253482,20.53015,47.55499,42,28.80316,0,5.51463,1,77,65,0,0
0.2938329,20.58422,47.67759,42,28.9267,0,5.490179,1,76,66,0,0
0.2311314,20.66104,47.8021,42,29.0531,0,5.463734,1,75,66,0,0
0.1631368,20.73841,47.93912,42,29.17845,0,5.422186,1,74,62,0,0
0.08271891,20.78579,48.06775,42,29.31964,0,5.383818,1,75,61,0,0
0.002268487,20.78938,48.19054,42,29.44005,0,5.359049,1,76,60,0,0
-0.06831837,20.77489,48.31802,42,29.56807,0,5.320239,1,75,59,0,0
-0.1398918,20.74815,48.41864,42,29.66812,0,5.295542,1,75,60,0,0
-0.1977015,20.71439,48.54169,42,29.79406,0,5.266129,1,74,59,0,0
-0.2365606,20.68412,48.66862,42,29.91879,0,5.236591,1,75,60,0,0
-0.3160177,20.62858,48.80003,42,30.04933,0,5.208735,1,73,60,0,0
-0.4393353,20.59439,48.96043,42,30.21275,0,5.178477,1,71,58,0,0
-0.5238259,20.56632,49.08179,43,30.3352,0,5.143143,1,64,59,0,0
-0.5633032,20.53286,49.20308,43,30.45644,0,5.108737,1,63,58,0,0
-0.5789112,20.48288,49.30999,44,30.55867,0,5.08444,1,62,60,0,0
-0.5818751,20.43242,49.43955,44,30.68841,0,5.061911,1,62,61,0,0
-0.5932516,20.4105,49.54458,45,30.79144,0,5.040195,1,62,61,0,0
-0.6062815,20.38815,49.6683,45,30.92183,0,5.005956,1,68,62,0,0
-0.6374443,20.36424,49.77326,45,31.02588,0,4.981533,1,70,64,0,0
-0.6823009,20.33138,49.89835,46,31.14893,0,4.957537,1,71,65,0,0
-0.7250057,20.29952,50.01875,46,31.26758,0,4.94515,1,70,64,0,0
-0.7792418,20.26933,50.14228,46,31.39414,0,4.901023,1,69,66,0,0
-0.7770072,20.25873,50.27177,47,31.52371,0,4.870264,1,67,66,0,0
-0.801263,20.24825,50.39684,47,31.6454,0,4.854215,1,67,67,0,0
-0.8860099,20.21681,50.52275,48,31.77312,0,4.82329,1,66,70,0,0
-0.9351619,20.20433,50.6496,48,31.9017,0,4.786559,1,68,72,0,0
-0.9599496,20.18465,50.75152,49,32.00347,0,4.764495,1,66,73,0,0
-0.9304,20.16107,50.90841,49,32.1574,0,4.755699,1,66,73,0,0
-0.9067647,20.13136,51.06452,50,32.31145,0,4.726406,1,64,75,0,0
-0.8923778,20.10412,51.24817,50,32.49929,0,4.690492,1,63,75,0,0
-0.8842989,20.05579,51.45943,51,32.70935,0,4.656425,1,62,78,1,0
-0.8909681,20.03393,51.67859,56,32.92689,0,4.624432,1,60,72,1,0
-0.9230651,19.99494,51.92587,66,33.17295,0,4.583235,1,59,70,1,0
-0.9463764,19.98229,52.0685,66,33.32067,0,4.557979,1,58,69,1,0
-0.9809086,19.93646,52.17236,71,33.41957,0,4.524997,1,58,73,1,0
-1.000176,19.88661,52.29915,71,33.54565,0,4.5066,1,58,74,1,0
-1.000639,19.85116,52.42733,76,33.68021,0,4.493985,1,57,74,1,0
-0.9894988,19.80486,52.55247,81,33.79503,0,4.47829,1,56,74,1,1
-0.9790313,19.75781,52.66022,81,33.90284,0,4.465184,1,56,74,1,1
-0.9391354,19.67815,52.76415,86,34.01278,0,4.449775,1,55,74,1,1
-0.8820992,19.55705,52.8901,86,34.13923,0,4.413383,1,55,77,1,0
-0.8338612,19.44786,53.02035,91,34.26847,0,4.396444,1,54,77,1,0
-0.8112262,19.37648,53.14333,96,34.38739,0,4.372296,1,53,78,1,0
-0.7701072,19.33874,53.26879,101,34.51966,0,4.35209,1,52,77,1,0
-0.73137,19.29001,53.3969,101,34.6497,0,4.326417,1,51,77,1,0
-0.7472762,19.25275,53.52899,106,34.77685,0,4.309028,1,50,79,1,0
-0.7855297,19.22316,53.68638,106,34.93884,0,4.284352,1,51,80,1,0
-0.7845243,19.22193,53.80937,106,35.06178,0,4.26673,1,50,82,1,0
-0.7788625,19.25304,53.93649,106,35.18504,0,4.239531,1,47,84,1,0
-0.7726386,19.33526,54.09562,106,35.34582,0,4.213598,1,46,84,1,0
-0.773285,19.39375,54.19808,106,35.45018,0,4.194347,1,46,84,1,0
-0.7385332,19.45938,54.32397,106,35.57573,0,4.161431,1,47,85,1,0
-0.7198398,19.50009,54.45159,106,35.70265,0,4.141377,1,48,84,1,0
-0.5624127,19.55918,54.61061,106,35.86085,0,4.107836,1,48,84,1,0
-0.4946024,19.61514,54.74125,106,35.99257,0,4.075691,1,50,85,1,0
-0.438251,19.67821,54.86946,106,36.12102,0,4.047301,1,51,83,1,0
-0.4148332,19.75272,54.99866,106,36.24967,0,4.02119,1,51,82,1,0
-0.3720469,19.81791,55.12882,111,36.37912,0,4.003665,1,50,82,1,0
-0.3394215,19.86005,55.2344,116,36.48436,0,3.98318,1,48,82,1,0
-0.2855135,19.92083,55.35785,116,36.60823,0,3.964825,1,46,81,1,0
-0.1954202,19.99449,55.51867,116,36.76812,0,3.939376,1,47,83,1,0
-0.1659873,20.01052,55.64412,116,36.89639,0,3.913907,1,48,82,1,0
-0.1430352,20.02027,55.7457,116,36.9989,0,3.900603,1,48,83,1,0
-0.09593713,20.01195,55.87566,116,37.12673,0,3.865229,1,49,87,1,0
-0.04152524,19.99965,56.00304,116,37.25231,0,3.851816,1,49,87,1,0
0.02714884,20.01708,56.14044,116,37.38767,0,3.836783,1,50,86,1,0
0.03629926,20.03612,56.24956,116,37.49379,0,3.828133,1,51,84,1,0
