position.x,position.ztime
1.001715,1.258472,62.43664
1.004872,1.246577,62.56302
1.008871,1.235597,62.67113
1.012705,1.228934,62.77951
1.020344,1.22603,62.90977
1.044021,1.217261,63.05563
1.07149,1.21349,63.16428
1.103258,1.21012,63.27318
1.160229,1.202086,63.41943
1.20304,1.196497,63.52359
1.233856,1.190225,63.64703
1.276501,1.179106,63.77158
1.281888,1.182723,63.95646
1.279573,1.191237,64.06023
1.275662,1.202099,64.1652
1.254974,1.23315,64.27253
1.21337,1.284902,64.40885
1.181695,1.327955,64.51326
1.131021,1.373984,64.6172
1.085505,1.415596,64.77425
1.050972,1.435488,64.89113
1.043766,1.457599,64.9958
1.042682,1.504815,65.22064
1.068809,1.607388,65.41926
1.09401,1.690415,65.61769
1.143859,1.748642,65.7983
1.153094,1.75709,65.91383
1.154974,1.768288,66.02301
1.153189,1.775707,66.13953
1.147526,1.782241,66.25241
1.139565,1.789855,66.36544
1.12592,1.798994,66.46914
1.111901,1.802974,66.59541
1.098065,1.794883,66.7094
1.086712,1.782308,66.81422
1.078607,1.769183,66.91535
1.076328,1.759992,67.01579
1.081063,1.746062,67.12584
1.090925,1.734196,67.22588
1.123478,1.699014,67.34848
1.162412,1.645238,67.49513
1.183657,1.607279,67.6105
1.194119,1.572405,67.73561
1.197025,1.552268,67.8382
1.1964,1.53469,67.94518
1.197915,1.522667,68.04701
1.201275,1.51498,68.15735
1.199999,1.511949,68.26416
1.197778,1.515498,68.41403
1.195352,1.524991,68.5191
1.192495,1.539117,68.63951
1.193239,1.5506,68.74536
1.192067,1.557761,68.85269
1.193228,1.558662,68.98224
1.193823,1.550524,69.11753
1.199923,1.538085,69.25105
1.205074,1.522005,69.35976
1.209068,1.498533,69.49529
1.207842,1.474447,69.65369
1.206091,1.466634,69.78399
1.203675,1.462829,69.90466
1.196032,1.46105,70.03035
1.191199,1.469224,70.14593
1.182257,1.4801,70.25888
1.16759,1.498738,70.36095
1.148909,1.52077,70.46513
1.129122,1.545389,70.58016
1.103858,1.570133,70.6917
1.074207,1.594062,70.79362
1.049697,1.614695,70.90637
1.035614,1.626005,71.03526
1.024785,1.636154,71.14127
1.018794,1.640616,71.24583
1.018208,1.641959,71.37429
1.020332,1.645089,71.48689
1.028712,1.648873,71.59931
1.039603,1.654852,71.70535
1.054241,1.667664,71.82033
1.075526,1.682161,71.92353
1.100255,1.704358,72.03816
1.123902,1.71794,72.14754
1.149798,1.725814,72.27161
1.165368,1.729465,72.37648
1.177315,1.730624,72.50106
1.183578,1.731047,72.64178
1.186424,1.732468,72.79551
1.190582,1.733998,72.91064
1.193233,1.73489,73.01495
1.193941,1.736601,73.12129
1.19198,1.746091,73.27027
1.188726,1.755053,73.38062
1.182186,1.76873,73.49245
1.17013,1.786059,73.61637
1.159012,1.800121,73.71665
1.145997,1.813671,73.82861
1.135733,1.82052,73.93272
1.124021,1.823963,74.05898
1.114734,1.822462,74.16093
1.109989,1.821473,74.27278
1.102178,1.816306,74.40935
1.101147,1.812879,74.51019
1.103054,1.808538,74.61308
1.109557,1.805213,74.71866
1.122606,1.800805,74.83239
1.136674,1.796532,74.95859
1.14805,1.788813,75.0638
1.153766,1.781895,75.16763
1.156912,1.77373,75.28312
1.157143,1.766674,75.38776
1.157244,1.756883,75.51276
1.153857,1.748336,75.63705
1.150784,1.743216,75.75082
1.144333,1.736493,75.88104
1.137442,1.730137,75.98778
1.133766,1.727398,76.08958
1.12531,1.72554,76.19855
1.118851,1.725401,76.31373
1.110801,1.722597,76.41976
1.10446,1.722527,76.5228
1.091734,1.726007,76.65036
1.076519,1.730042,76.79282
1.062655,1.732069,76.89852
1.048131,1.734094,77.00271
1.037979,1.735482,77.13279
1.02979,1.737295,77.28282
1.027577,1.740493,77.39244
1.030564,1.742343,77.49603
1.037133,1.74557,77.61894
1.046428,1.746831,77.72737
