position.x,position.ztime
-1.473305,-1.33319,5.721903
-1.471264,-1.338139,5.849319
-1.468638,-1.349379,6.011159
-1.463861,-1.352095,6.155069
-1.46703,-1.346163,6.362298
-1.497423,-1.320247,6.609684
-1.509819,-1.31335,6.757761
-1.516132,-1.306429,6.879272
-1.529801,-1.32657,7.008551
-1.542202,-1.358553,7.179278
-1.546893,-1.38521,7.360518
-1.552904,-1.398468,7.49775
-1.56865,-1.404933,7.623232
-1.587599,-1.399923,7.800206
-1.610226,-1.384494,7.982411
-1.619219,-1.373662,8.104644
-1.626354,-1.368655,8.228445
-1.630286,-1.39392,8.407417
-1.641419,-1.438484,8.657035
-1.645155,-1.453409,8.802594
-1.647087,-1.464693,8.9272
-1.656178,-1.461029,9.057765
-1.666942,-1.45528,9.227906
-1.677455,-1.447828,9.349541
-1.704065,-1.435342,9.472027
-1.722937,-1.422901,9.668862
-1.730602,-1.426791,9.771857
-1.739998,-1.433501,9.874798
-1.749275,-1.450627,9.981359
-1.756974,-1.464142,10.11336
-1.769532,-1.487446,10.22945
-1.773585,-1.494049,10.32945
-1.787294,-1.500097,10.49497
-1.795409,-1.498909,10.62824
-1.815326,-1.485903,10.7697
-1.830234,-1.477023,10.90361
-1.843841,-1.465046,11.00488
-1.854851,-1.463573,11.14613
-1.860626,-1.467217,11.25363
-1.871149,-1.474649,11.35748
-1.888098,-1.483146,11.5184
-1.898372,-1.48869,11.62689
-1.910582,-1.485955,11.7557
-1.921382,-1.472062,11.88593
-1.936983,-1.450837,12.02142
-1.960328,-1.409206,12.16546
-1.972691,-1.386628,12.29413
-1.98225,-1.370086,12.41957
-1.99504,-1.363979,12.55516
-2.008785,-1.365661,12.65752
-2.018672,-1.369345,12.75934
-2.03317,-1.373413,12.88101
-2.053227,-1.381953,13.01006
-2.060307,-1.387091,13.12695
-2.06944,-1.386054,13.23032
-2.079893,-1.375826,13.33399
-2.094347,-1.359268,13.44198
-2.117246,-1.329633,13.58305
-2.130356,-1.319679,13.71542
-2.149438,-1.303385,13.8424
-2.164453,-1.310358,13.97083
-2.179156,-1.313694,14.08607
-2.200398,-1.31583,14.18749
-2.221993,-1.319917,14.31638
-2.234195,-1.330177,14.44398
-2.249198,-1.3277,14.57623
-2.256282,-1.32423,14.67778
-2.271111,-1.307596,14.80994
-2.292231,-1.275009,14.91011
-2.318967,-1.24123,15.03721
-2.338071,-1.219705,15.14643
-2.358248,-1.203709,15.27884
-2.374323,-1.208247,15.38245
-2.3896,-1.217754,15.51584
-2.408197,-1.224466,15.61943
-2.435203,-1.240999,15.75301
-2.449873,-1.251919,15.88436
-2.462013,-1.261906,16.01697
-2.474184,-1.267683,16.12953
-2.487532,-1.266876,16.23071
-2.5041,-1.258001,16.36283
-2.527535,-1.240208,16.49604
-2.542371,-1.226437,16.60818
-2.548711,-1.214146,16.73542
-2.550348,-1.214617,16.86437
-2.549757,-1.221889,16.99518
-2.54885,-1.234776,17.09518
-2.55037,-1.253754,17.20556
-2.550571,-1.271173,17.33837
-2.555001,-1.293334,17.50624
-2.560374,-1.302527,17.63758
-2.573331,-1.307521,17.73949
-2.594769,-1.311305,17.86492
-2.621618,-1.310951,17.98963
-2.635144,-1.31406,18.11874
-2.648905,-1.312819,18.22821
-2.663275,-1.31742,18.36506
-2.665373,-1.323634,18.46679
-2.670382,-1.341051,18.59581
-2.676101,-1.355914,18.73388
-2.678056,-1.368348,18.83849
-2.681719,-1.382337,18.97064
-2.69498,-1.39018,19.10268
-2.708354,-1.390766,19.23727
-2.72626,-1.387971,19.34437
-2.746125,-1.388635,19.47708
-2.762421,-1.383414,19.57994
-2.773927,-1.380243,19.74521
-2.778189,-1.382428,19.88043
-2.779294,-1.38729,19.98362
-2.779389,-1.391297,20.08385
-2.777411,-1.396998,20.28632
-2.777698,-1.40171,20.48579
-2.810278,-1.388026,20.68689
-2.829146,-1.381186,20.81974
-2.840658,-1.377937,20.96969
-2.845782,-1.375408,21.09155
-2.850733,-1.379459,21.20708
-2.852387,-1.391137,21.35942
-2.850279,-1.40976,21.50466
-2.849022,-1.433213,21.72506
-2.852625,-1.463848,21.92854
-2.85911,-1.466755,22.1101
-2.870286,-1.460845,22.24324
-2.888916,-1.452312,22.36705
-2.899413,-1.442147,22.47027
-2.90913,-1.440303,22.60191
-2.912576,-1.448393,22.71208
-2.913915,-1.458807,22.81259
-2.914197,-1.476688,22.94394
-2.908063,-1.495719,23.07885
-2.90255,-1.523981,23.18647
-2.89904,-1.544426,23.32622
-2.899647,-1.55636,23.4271
-2.90946,-1.564502,23.59317
-2.914731,-1.567286,23.70032
-2.923901,-1.572626,23.82896
-2.926777,-1.568427,23.92985
-2.926224,-1.572751,24.03068
-2.923274,-1.585496,24.13618
-2.91499,-1.606327,24.24363
-2.901831,-1.647893,24.41447
-2.887487,-1.686088,24.55188
-2.885996,-1.70696,24.67766
-2.888177,-1.712338,24.7839
-2.891255,-1.717955,24.88425
-2.90693,-1.718286,25.01737
-2.916982,-1.711105,25.14698
-2.929314,-1.706509,25.25664
-2.938991,-1.699712,25.36219
-2.943332,-1.693124,25.467
-2.948072,-1.69342,25.57026
-2.94849,-1.702907,25.67788
-2.949582,-1.713903,25.78839
-2.95286,-1.736512,25.91796
-2.955041,-1.760803,26.04719
-2.956686,-1.78224,26.14932
-2.957132,-1.799715,26.26328
-2.960638,-1.816608,26.36428
-2.96578,-1.827215,26.49532
-2.969546,-1.831973,26.62189
-2.974622,-1.833925,26.72589
-2.977253,-1.830023,26.84278
-2.987355,-1.822462,26.94282
-3.005654,-1.80145,27.10777
-3.025753,-1.779035,27.236
-3.045098,-1.750698,27.34857
-3.061442,-1.732714,27.449
-3.076588,-1.70356,27.57871
-3.083498,-1.693217,27.70549
-3.089822,-1.690508,27.83389
-3.092931,-1.685192,27.97108
-3.09233,-1.685328,28.07478
-3.091335,-1.679389,28.20426
-3.092852,-1.681028,28.33014
-3.09691,-1.67767,28.44429
-3.110058,-1.658336,28.57686
-3.131512,-1.624312,28.70143
-3.148009,-1.600929,28.80328
-3.172494,-1.571322,28.94069
-3.193853,-1.540438,29.04549
-3.201926,-1.535663,29.14948
-3.212813,-1.537808,29.25237
-3.225215,-1.540601,29.38453
-3.249295,-1.544571,29.49083
-3.265154,-1.560305,29.61586
-3.277055,-1.570761,29.73899
-3.293219,-1.571858,29.86921
-3.300951,-1.567964,29.97171
-3.328884,-1.539741,30.11511
-3.354551,-1.515411,30.24003
-3.381471,-1.488927,30.34168
-3.402882,-1.456797,30.47569
-3.416202,-1.424285,30.59122
-3.42128,-1.414521,30.69901
-3.423289,-1.412662,30.83062
-3.423158,-1.418048,30.96122
-3.424258,-1.422274,31.07319
-3.422454,-1.427497,31.20407
-3.418714,-1.424574,31.3354
-3.422111,-1.429784,31.44106
-3.42867,-1.423863,31.55157
-3.443801,-1.409204,31.67887
-3.485494,-1.388385,31.84265
-3.519412,-1.372995,31.97158
-3.534382,-1.363402,32.08024
-3.542672,-1.358393,32.18107
-3.556152,-1.361701,32.3111
-3.567796,-1.369447,32.44466
-3.575123,-1.382684,32.55285
-3.5789,-1.400004,32.68352
-3.584334,-1.412377,32.81049
-3.588348,-1.427312,32.97239
-3.604534,-1.437253,33.1017
-3.617362,-1.448376,33.22777
-3.635881,-1.455233,33.33103
-3.658028,-1.457511,33.46918
-3.663866,-1.459715,33.57057
-3.671659,-1.459424,33.7001
-3.678357,-1.463264,33.8017
-3.687078,-1.468044,33.90815
-3.68171,-1.475553,34.01534
-3.671528,-1.48785,34.14204
-3.660613,-1.505833,34.24837
-3.652184,-1.516597,34.34859
-3.647138,-1.524419,34.45822
-3.647942,-1.527401,34.56307
-3.650938,-1.5337,34.66697
-3.663052,-1.542915,34.76789
-3.672841,-1.549608,34.87046
-3.692577,-1.55933,35.01097
-3.70662,-1.566432,35.14425
-3.711126,-1.572949,35.28751
-3.711266,-1.585225,35.43558
-3.696818,-1.613399,35.61897
-3.679695,-1.638596,35.77693
-3.659907,-1.66887,35.91912
-3.658238,-1.68944,36.13879
-3.666804,-1.705176,36.32056
-3.676951,-1.720908,36.4613
-3.686623,-1.733905,36.64505
-3.678862,-1.761501,36.85352
-3.663362,-1.783671,36.98698
-3.640511,-1.826429,37.11015
-3.631917,-1.840745,37.21622
-3.62257,-1.857183,37.34718
-3.627052,-1.85897,37.44861
-3.641749,-1.849906,37.55788
-3.660895,-1.844689,37.66366
-3.670589,-1.842874,37.79483
-3.688117,-1.833204,37.926
-3.693618,-1.831558,38.02695
-3.696438,-1.832197,38.13449
-3.694421,-1.837938,38.23999
-3.689748,-1.847744,38.34087
-3.686676,-1.869245,38.46802
-3.677346,-1.892244,38.60674
-3.673547,-1.916883,38.74094
-3.672311,-1.92763,38.87229
-3.673563,-1.936256,39.0051
-3.674417,-1.941591,39.14103
-3.686765,-1.940977,39.27528
-3.702803,-1.937806,39.3763
-3.71749,-1.931191,39.50322
-3.731176,-1.921809,39.63403
-3.740474,-1.920254,39.75382
-3.753207,-1.928274,39.85701
-3.754101,-1.939508,40.02374
-3.754893,-1.951658,40.15609
-3.753049,-1.962191,40.25884
-3.758346,-1.981184,40.38947
-3.765027,-1.989483,40.51746
-3.768174,-1.990084,40.61837
-3.786627,-1.989743,40.75809
-3.798864,-1.987196,40.86649
-3.811723,-1.985938,40.99183
-3.818888,-1.981449,41.12152
-3.822548,-1.982615,41.24464
-3.819226,-1.986233,41.35715
-3.817825,-1.992515,41.4593
-3.808906,-2.002945,41.58871
-3.801004,-2.023427,41.75263
-3.797633,-2.037596,41.85994
-3.799354,-2.035932,41.98934
-3.803994,-2.03707,42.09257
-3.81508,-2.034303,42.2335
-3.822684,-2.028767,42.33649
-3.836835,-2.021485,42.4379
-3.848977,-2.014346,42.53865
-3.857442,-2.007602,42.66077
-3.857436,-2.006848,42.79844
-3.860514,-2.015304,42.92797
-3.854386,-2.020556,43.03055
-3.850826,-2.030718,43.16241
-3.844717,-2.044062,43.30665
-3.848279,-2.055915,43.47337
-3.854715,-2.053262,43.60485
-3.866915,-2.049965,43.71592
-3.883476,-2.048242,43.84898
-3.896526,-2.04625,43.95223
-3.916419,-2.037845,44.11828
-3.922359,-2.039223,44.2314
-3.926413,-2.053332,44.38903
-3.926633,-2.073843,44.51883
-3.924952,-2.09712,44.68739
-3.922679,-2.110666,44.82523
-3.927674,-2.115913,44.95692
-3.944188,-2.115088,45.11638
-3.959002,-2.112035,45.22591
