position.x,position.z,time,score
0.3659559,-0.7619113,12.72782,1
0.3714104,-0.7592914,12.8566,1
0.3983688,-0.7191669,13.04279,1
0.4299878,-0.6947373,13.15251,2
0.5333092,-0.6138852,13.28836,2
0.5696195,-0.5771573,13.41398,2
0.647947,-0.5443438,13.53729,2
0.6592212,-0.5426803,13.65951,3
0.6698883,-0.5363031,13.79361,3
0.6732981,-0.5532801,13.93922,4
0.689176,-0.5976265,14.10814,4
0.7077731,-0.6528358,14.21246,4
0.7191052,-0.7275131,14.32676,5
0.7181933,-0.7909676,14.46049,5
0.7368312,-0.8883951,14.59914,6
0.7511391,-0.9478158,14.74946,6
0.7650814,-0.9636239,14.85139,6
0.7849787,-0.9887577,14.99756,6
0.7846655,-0.9851287,15.12952,6
0.7894853,-0.980626,15.25626,6
0.808175,-0.9870071,15.39821,7
0.8228547,-0.9828483,15.539,7
0.8425148,-0.9649115,15.67456,8
0.8378429,-0.9391795,15.80032,8
0.8047139,-0.8801651,15.93343,9
0.7692565,-0.8322663,16.07144,9
0.7314427,-0.7560089,16.20844,10
0.7030392,-0.6903461,16.33316,10
0.6596168,-0.597666,16.47828,10
0.6241387,-0.4843668,16.61285,10
0.5811729,-0.4032829,16.73652,10
0.5635723,-0.3066634,16.86532,10
0.5343013,-0.2447955,17.006,10
0.5061988,-0.2039827,17.14198,10
0.4759921,-0.1739689,17.27669,10
0.4443536,-0.1633105,17.41127,10
0.382035,-0.1563857,17.54474,10
0.3147517,-0.1658997,17.68715,10
0.2192976,-0.1976457,17.81802,11
0.1261902,-0.2401169,17.94032,11
0.06711598,-0.2850011,18.07833,11
0.04992729,-0.3072447,18.17862,12
0.02508621,-0.3262414,18.30844,12
0.01678344,-0.3396349,18.42947,13
0.02200821,-0.3564081,18.56722,13
0.0535991,-0.3469509,18.75043,14
0.09884694,-0.3052877,18.89386,15
0.1373448,-0.2670963,19.03389,15
0.258591,-0.1651776,19.17154,16
0.3376621,-0.1197329,19.29189,16
0.4741163,-0.0996521,19.45959,17
0.5175138,-0.09669649,19.59157,17
0.5658726,-0.08573148,19.70884,17
0.5697402,-0.0667947,19.85062,17
0.543506,-0.07731262,19.96215,17
0.515337,-0.08140035,20.10441,18
0.4756529,-0.09899412,20.23,18
0.3816554,-0.1705813,20.40079,18
0.3199722,-0.2641915,20.54057,19
0.2442984,-0.4102427,20.69687,19
0.2362048,-0.4402452,20.8244,19
0.2378124,-0.5202586,20.95469,19
0.2035243,-0.6375012,21.08756,19
0.169363,-0.7103005,21.32171,19
0.1297993,-0.7139932,21.48738,19
0.1081917,-0.6972622,21.61382,19
0.04994373,-0.6433592,21.752,19
0.01818069,-0.6106101,21.87456,19
0.00147258,-0.5636538,22.01809,19
-0.005087762,-0.5052832,22.1635,20
-0.001739081,-0.4325939,22.29051,20
0.0314464,-0.3724501,22.42043,20
0.04443688,-0.329374,22.55133,21
0.05619993,-0.280072,22.6992,21
0.06582795,-0.2470908,22.8311,21
0.07532155,-0.2238672,22.96279,22
0.08451088,-0.2121007,23.10705,22
0.08837803,-0.1998508,23.24859,22
0.08919625,-0.1974542,23.35101,22
0.08957257,-0.1861455,23.49303,22
0.08932821,-0.1798561,23.59915,22
0.06901866,-0.171676,23.73637,22
0.04210797,-0.1656048,23.86544,22
0.005337974,-0.1500452,24.01142,22
-0.02611666,-0.1330322,24.11326,22
-0.09387247,-0.10773,24.24981,22
-0.1541457,-0.09430856,24.35321,22
