position.x,position.z,time,score
-0.05289308,0.8722849,14.29055,2
-0.05227239,0.8986692,14.41899,2
-0.04991063,0.9462328,14.53097,2
-0.0668226,1.005751,14.64879,2
-0.08195059,1.083464,14.76582,3
-0.09319034,1.133816,14.87875,3
-0.1101692,1.194114,14.99035,3
-0.1298936,1.261528,15.11199,3
-0.130432,1.325265,15.22941,3
-0.132226,1.408825,15.34459,3
-0.131162,1.45535,15.45523,3
-0.1154978,1.527731,15.57667,3
-0.09367882,1.582599,15.70097,3
-0.08389105,1.621769,15.83032,3
-0.08782139,1.650629,15.93979,4
-0.09469496,1.672053,16.05569,4
-0.1013967,1.709198,16.21474,4
-0.1141004,1.745091,16.32857,5
-0.1304768,1.787974,16.47873,5
-0.1550721,1.816574,16.58437,6
-0.1637166,1.836876,16.71597,6
-0.171158,1.849515,16.82099,6
-0.1735033,1.860698,16.92798,6
-0.1645211,1.869271,17.05474,7
-0.1493053,1.873334,17.1789,7
-0.1111261,1.876946,17.29778,7
-0.03365345,1.877435,17.42738,7
0.02580605,1.882706,17.52847,7
0.118732,1.887976,17.66141,7
0.1932623,1.885699,17.795,7
0.2533685,1.878773,17.90715,7
0.2895724,1.861392,18.04549,7
0.3028772,1.847952,18.16981,7
0.3255178,1.827206,18.33277,7
0.3314551,1.816544,18.46455,7
0.3271303,1.81634,18.60499,7
0.3241531,1.820408,18.72033,7
0.3203888,1.802506,18.8509,7
0.3081644,1.786091,18.95559,7
0.2734447,1.749917,19.08304,7
0.2344553,1.719112,19.1899,7
0.2055146,1.687164,19.30098,7
0.1815256,1.656325,19.40384,7
0.1640564,1.632366,19.50519,7
0.1492208,1.613756,19.63167,7
0.1424913,1.611635,19.73341,7
0.1370023,1.604587,19.84712,7
0.1308531,1.605988,19.95643,7
0.1274212,1.615875,20.06069,7
0.1251042,1.624307,20.16489,7
0.1256786,1.624432,20.27408,7
0.128461,1.628773,20.38184,7
0.1337865,1.634578,20.54227,7
0.1372338,1.637136,20.64428,7
0.1440203,1.633457,20.74801,7
0.1539296,1.625399,20.8565,7
0.1605942,1.610859,20.99592,7
0.1634073,1.599034,21.12567,7
0.1616785,1.594086,21.22695,7
0.161209,1.585743,21.32732,7
0.166543,1.577778,21.43774,7
0.1788442,1.572224,21.55039,7
0.2156242,1.567285,21.65797,7
0.2377975,1.56025,21.79783,7
0.2446294,1.552299,21.89982,7
0.2465048,1.521259,22.0078,7
0.2455675,1.499295,22.11056,7
0.23236,1.421272,22.21965,7
0.2165243,1.336279,22.32228,7
0.2144675,1.228643,22.44139,7
0.2146198,1.153895,22.55824,8
0.208932,1.08663,22.69125,8
0.2043148,1.054265,22.81893,8
0.1905743,1.030006,22.93256,8
0.1806598,1.021165,23.06437,8
0.1743064,1.023129,23.18201,9
0.172765,1.028565,23.30986,9
0.1689936,1.036948,23.42049,10
0.1638046,1.043666,23.54663,10
0.1613638,1.051079,23.66857,10
0.1542341,1.056579,23.78833,11
0.1361831,1.059684,23.9319,11
0.1060151,1.070136,24.05178,12
0.05118195,1.062705,24.18503,12
-0.0195092,1.055815,24.30967,12
-0.09711608,1.035264,24.43026,13
-0.2219798,0.997152,24.5633,13
-0.3431742,0.9350531,24.69889,13
-0.3850303,0.9058703,24.8286,14
-0.4350864,0.8856348,24.95458,14
