position.x,position.ztime
0.3559729,-0.4216528,5.024949
0.3559729,-0.421653,5.132223
0.3559729,-0.4216529,5.239931
0.3559727,-0.4216529,5.34621
0.355973,-0.4216529,5.452298
0.3559729,-0.421653,5.554835
0.3559728,-0.4216529,5.660697
0.355973,-0.4216529,5.765218
0.3559728,-0.4216529,5.87289
0.3559727,-0.421653,5.983141
0.355973,-0.421653,6.097983
0.3559729,-0.4216529,6.203694
0.3559728,-0.4216529,6.304307
0.3559729,-0.4216531,6.408677
0.3559729,-0.421653,6.517344
0.3559728,-0.4216529,6.621211
0.3559729,-0.4216528,6.722837
0.355973,-0.421653,6.825007
0.3559728,-0.421653,6.931838
0.3559729,-0.421653,7.050248
0.355973,-0.4216531,7.153677
0.3559729,-0.4216529,7.258312
0.3559728,-0.4216529,7.361647
0.355973,-0.4216529,7.461743
0.3559729,-0.4216531,7.565857
0.3559729,-0.4216529,7.677856
0.355973,-0.4216529,7.780653
0.3559729,-0.4216531,7.880979
0.3559729,-0.421653,7.994588
0.3559729,-0.421653,8.097397
0.3559729,-0.421653,8.206349
0.355973,-0.421653,8.315776
0.3559729,-0.4216531,8.427323
0.355973,-0.4216531,8.546527
0.3559729,-0.4216532,8.653017
0.355973,-0.4216531,8.76351
0.3559728,-0.4216531,8.86755
0.3559728,-0.421653,8.980176
0.355973,-0.4216531,9.086882
0.3559729,-0.4216531,9.198858
0.3559729,-0.4216532,9.304843
0.3559731,-0.4216531,9.414324
0.355973,-0.4216532,9.520047
0.3559729,-0.421653,9.622175
0.355973,-0.4216531,9.730391
0.355973,-0.4216532,9.831499
0.3559729,-0.4216532,9.947263
0.355973,-0.4216532,10.04892
0.3559729,-0.421653,10.15125
0.3559729,-0.4216531,10.26197
0.355973,-0.4216532,10.36278
0.3559728,-0.421653,10.47589
0.355973,-0.421653,10.58261
0.3559729,-0.4216533,10.69121
0.3559729,-0.4216531,10.80444
0.3559729,-0.4216529,10.90533
0.355973,-0.4216532,11.01407
0.355973,-0.4216533,11.12312
0.355973,-0.4216531,11.22581
0.3559728,-0.421653,11.33664
0.3559731,-0.4216532,11.44332
0.355973,-0.4216532,11.5438
0.3559729,-0.4216531,11.64594
0.355973,-0.4216532,11.74781
0.355973,-0.4216532,11.86044
0.3559729,-0.4216531,11.9685
0.355973,-0.4216532,12.07768
0.355973,-0.4216532,12.178
0.355973,-0.4216532,12.28383
0.355973,-0.421653,12.3853
0.355973,-0.4216532,12.49376
0.3559731,-0.4216533,12.59924
0.3559731,-0.4216532,12.70191
0.355973,-0.4216532,12.81559
0.3559731,-0.4216532,12.92053
0.355973,-0.4216532,13.0235
0.355973,-0.4216532,13.13462
0.355973,-0.4216532,13.24062
0.355973,-0.4216531,13.34181
0.3559732,-0.4216532,13.44212
0.355973,-0.4216533,13.54301
0.3559729,-0.4216532,13.64773
