position.x,position.ztime
0.3559771,-0.4216614,1.718998
0.3559771,-0.4216614,1.828398
0.3559771,-0.4216613,1.940313
0.355977,-0.4216613,2.051126
0.3559771,-0.4216613,2.163653
0.355977,-0.4216612,2.267198
0.3559769,-0.4216613,2.378157
0.3559772,-0.4216613,2.486431
0.3559771,-0.4216613,2.589365
0.3559771,-0.4216614,2.689972
0.3559771,-0.4216613,2.792413
0.3559771,-0.4216613,2.909685
0.3559771,-0.4216614,3.009701
0.3559771,-0.4216615,3.117301
0.355977,-0.4216613,3.220857
0.3559771,-0.4216614,3.324436
0.3559772,-0.4216616,3.424844
0.3559771,-0.4216615,3.534344
0.3559769,-0.4216615,3.641135
0.3559772,-0.4216613,3.767847
0.3559771,-0.4216614,3.878914
0.3559769,-0.4216615,3.980089
0.3559773,-0.4216613,4.081001
0.3559771,-0.4216614,4.197885
0.355977,-0.4216615,4.299271
0.3559771,-0.4216614,4.411725
0.355977,-0.4216613,4.525262
0.3559772,-0.4216616,4.630015
0.3559772,-0.4216616,4.747054
0.3559771,-0.4216613,4.855439
0.3559771,-0.4216615,4.958167
0.3559771,-0.4216615,5.061582
0.3559771,-0.4216616,5.167324
0.3559772,-0.4216615,5.268744
0.3557957,-0.4213742,5.369955
0.3553419,-0.4206556,5.484355
0.3547066,-0.4196492,5.595059
0.3537988,-0.418212,5.708027
0.352982,-0.4169184,5.819077
0.3515297,-0.4146186,5.922786
0.3497143,-0.4117437,6.028687
0.347536,-0.4082941,6.147199
0.3449945,-0.4042695,6.269402
0.3430884,-0.4012509,6.370668
0.3400023,-0.3963638,6.479618
0.3365532,-0.3909017,6.586867
0.3328317,-0.3850084,6.705153
0.3287471,-0.3785401,6.81375
0.3242996,-0.371497,6.915843
0.3195795,-0.3640225,7.017159
0.3163119,-0.3588477,7.129105
0.3128628,-0.3533857,7.232549
0.3075075,-0.3449052,7.336659
0.3018799,-0.3359934,7.438173
0.29598,-0.3266501,7.548866
0.2899892,-0.3171634,7.660439
0.2859954,-0.3108388,7.760637
0.2800047,-0.3013518,7.865581
0.274014,-0.2918652,7.96889
0.2700202,-0.2855407,8.070086
0.2640295,-0.2760538,8.186745
0.2580387,-0.266567,8.29092
0.2540449,-0.2602424,8.391185
0.2460574,-0.2475933,8.509041
0.2400667,-0.2381066,8.621357
0.2360728,-0.231782,8.737637
0.230082,-0.222295,8.838118
0.2240915,-0.2128084,8.950445
0.2181007,-0.2033216,9.051128
0.2121099,-0.1938347,9.156333
0.2081162,-0.1875102,9.256606
0.2021254,-0.1780234,9.363382
0.1961346,-0.1685365,9.470771
0.192141,-0.162212,9.579351
0.1861502,-0.1527254,9.682324
0.1847703,-0.15054,9.792074
0.1847725,-0.1505436,9.895496
0.1847735,-0.1505452,10.00366
0.1847707,-0.1505407,10.1042
0.1847626,-0.1505294,10.21332
0.1847516,-0.1505153,10.31406
0.1847408,-0.1504994,10.42391
0.1847332,-0.1504884,10.53311
0.1847203,-0.15047,10.64404
0.1846951,-0.1504316,10.74844
0.1853814,-0.1526776,10.85217
0.1856896,-0.1557475,10.95979
0.1851285,-0.161913,11.06671
0.1846899,-0.168461,11.17032
0.1841456,-0.1734547,11.2812
0.1833836,-0.1778726,11.38741
0.1826053,-0.1837333,11.49072
0.1830263,-0.1841944,11.60065
0.1833847,-0.1853265,11.70619
0.1834512,-0.1862422,11.81306
0.183287,-0.1862034,11.9232
0.1831924,-0.1861689,12.02502
0.1831458,-0.1861536,12.23636
0.1831601,-0.1861633,12.33959
0.1831976,-0.1861994,12.44838
0.1832455,-0.1862637,12.55498
0.1832926,-0.1863587,12.66739
