position.x,position.ztime
-1.224897,-1.368503,94.61421
-1.226591,-1.369166,94.72622
-1.232368,-1.368625,94.84472
-1.243748,-1.36874,94.97478
-1.249845,-1.369384,95.10606
-1.248538,-1.369896,95.21854
-1.24714,-1.371372,95.32533
-1.246536,-1.372903,95.4482
-1.244035,-1.374204,95.55547
-1.243831,-1.374122,95.68597
-1.247932,-1.376788,95.78633
-1.248075,-1.378663,95.90573
-1.2501,-1.379553,96.00896
-1.251757,-1.380039,96.11272
-1.254029,-1.378947,96.23709
-1.256855,-1.37843,96.37914
-1.259308,-1.376035,96.51459
-1.262014,-1.374954,96.67377
-1.261389,-1.374595,96.77692
-1.263449,-1.373088,96.87768
-1.264322,-1.36947,96.99857
-1.26862,-1.365509,97.13776
-1.277857,-1.353364,97.24225
-1.277745,-1.348105,97.36597
-1.271712,-1.335558,97.48773
-1.273198,-1.328934,97.62231
-1.279221,-1.327899,97.79541
-1.270628,-1.331143,97.90065
-1.27391,-1.334759,98.05456
-1.277268,-1.336264,98.18874
-1.291141,-1.340109,98.31937
-1.3108,-1.350695,98.42664
-1.357013,-1.377013,98.60264
-1.384001,-1.386195,98.71593
-1.40722,-1.4111,98.83668
-1.4502,-1.382451,99.05786
-1.507565,-1.37556,99.23829
-1.544163,-1.378409,99.3391
-1.59286,-1.394827,99.45826
-1.617075,-1.438334,99.56031
-1.639181,-1.487399,99.68452
-1.612126,-1.559502,99.85423
-1.589768,-1.660879,100.0846
-1.569177,-1.731693,100.2504
-1.557214,-1.790709,100.4421
-1.565476,-1.816532,100.5535
-1.575408,-1.857189,100.6816
-1.594835,-1.908894,100.8757
-1.604457,-1.956601,101.1143
-1.586511,-1.987042,101.2701
-1.573508,-2.014133,101.4073
-1.578654,-2.026022,101.5174
-1.591046,-2.036432,101.6493
-1.62461,-2.051442,101.7893
-1.68188,-2.063112,101.8971
-1.715821,-2.068399,101.9992
-1.772055,-2.059023,102.128
-1.822097,-2.013515,102.2313
-1.847142,-1.998647,102.3432
-1.870744,-1.979925,102.4458
-1.884737,-1.96728,102.5537
-1.891201,-1.973564,102.7179
-1.898849,-1.988207,102.8522
-1.909377,-1.991724,102.9612
-1.9168,-1.985055,103.0686
-1.918607,-1.974462,103.1744
-1.929068,-1.948181,103.3368
-1.926819,-1.92534,103.4495
-1.911517,-1.909666,103.572
-1.916497,-1.883996,103.7025
-1.927637,-1.860633,103.8326
-1.93767,-1.844635,103.9345
-1.954257,-1.823978,104.0442
-1.977705,-1.79344,104.1734
-1.993413,-1.771083,104.31
-1.99995,-1.749645,104.4209
-2.011124,-1.717551,104.5516
-2.010248,-1.687639,104.669
-2.010561,-1.662798,104.8102
-2.009895,-1.643752,104.9137
-2.009463,-1.623911,105.0142
-2.01872,-1.604953,105.1496
-2.024994,-1.58705,105.2617
-2.034127,-1.571099,105.3872
-2.049332,-1.556742,105.5155
-2.054798,-1.548502,105.6192
-2.063124,-1.538958,105.7204
-2.073406,-1.524722,105.8292
-2.082803,-1.488888,105.9676
-2.087516,-1.436777,106.0907
-2.08502,-1.368908,106.2187
-2.085016,-1.299657,106.3469
-2.077654,-1.241256,106.4542
-2.055784,-1.161425,106.575
-2.054669,-1.108551,106.7071
-2.04562,-1.063929,106.8346
-2.038748,-1.023657,106.9469
-2.054365,-0.9649574,107.0494
-2.050673,-0.9033709,107.1837
-2.05972,-0.8580287,107.3129
-2.062778,-0.8133008,107.4133
-2.056139,-0.7651313,107.5512
-2.046659,-0.6827936,107.6876
-2.040017,-0.6457223,107.7943
-2.033428,-0.6231605,107.9272
-2.041534,-0.6196693,108.052
-2.043117,-0.6316372,108.1873
-2.039011,-0.6521712,108.3448
-2.028512,-0.6622907,108.4547
-2.032223,-0.6878929,108.562
-2.024505,-0.7193843,108.6875
-2.018455,-0.7653245,108.7977
-1.998442,-0.8253947,108.9039
-1.956136,-0.9397641,109.0331
-1.94302,-1.004822,109.1377
-1.930036,-1.07473,109.262
-1.943169,-1.159541,109.3995
-1.945178,-1.234717,109.5283
-1.96587,-1.316682,109.6299
-2.008122,-1.392438,109.7607
-2.038715,-1.456623,109.8854
-2.083922,-1.525088,109.9938
-2.108009,-1.553092,110.0942
-2.13388,-1.601107,110.1946
-2.157061,-1.631736,110.3274
-2.177428,-1.662766,110.429
-2.202905,-1.717511,110.5605
-2.216971,-1.750278,110.6646
-2.228969,-1.777923,110.7705
-2.238084,-1.784113,110.9034
-2.234633,-1.780096,111.0266
-2.247318,-1.777883,111.1566
-2.266523,-1.769614,111.2697
-2.266691,-1.759086,111.4027
-2.283816,-1.751289,111.5333
-2.297784,-1.752467,111.6421
-2.311229,-1.756193,111.7438
-2.331635,-1.757771,111.9392
-2.349262,-1.761708,112.1255
-2.350982,-1.760467,112.2556
-2.324959,-1.76608,112.3879
-2.299015,-1.781809,112.5196
-2.282022,-1.800036,112.6247
-2.277407,-1.803036,112.7287
-2.278285,-1.808884,112.8581
-2.275385,-1.811538,112.9843
-2.251714,-1.823514,113.1482
-2.224697,-1.837685,113.2499
-2.20524,-1.842769,113.3579
-2.195324,-1.859765,113.4608
-2.194601,-1.856959,113.6232
-2.194271,-1.859416,113.7928
-2.170331,-1.846077,113.9115
-2.153815,-1.83674,114.0129
-2.08663,-1.80485,114.1446
-2.041523,-1.7892,114.2695
-1.987013,-1.757787,114.3993
-1.980759,-1.712944,114.5042
-1.972448,-1.676997,114.612
-1.967244,-1.606478,114.747
-1.984137,-1.520158,114.875
-2.001119,-1.4695,115.0099
-2.032043,-1.421787,115.1154
-2.076963,-1.378296,115.247
-2.145836,-1.307977,115.4048
-2.176689,-1.29482,115.5755
-2.197515,-1.312073,115.6995
-2.212191,-1.34884,115.7996
-2.215922,-1.410344,115.8998
-2.223802,-1.498151,116.0267
-2.220146,-1.613869,116.1392
-2.223587,-1.666996,116.2447
-2.231988,-1.703779,116.3775
-2.232424,-1.71614,116.4988
-2.227408,-1.733756,116.6246
-2.221287,-1.730015,116.7441
-2.192109,-1.718981,116.9135
-2.131473,-1.684122,117.065
-2.083205,-1.656671,117.1659
-2.045556,-1.615409,117.2791
-2.023142,-1.574943,117.437
-2.015727,-1.536706,117.548
-2.025593,-1.489335,117.65
-2.061675,-1.392267,117.8085
-2.092234,-1.326517,117.9219
-2.128011,-1.264842,118.0496
-2.152415,-1.223873,118.1773
-2.181069,-1.16992,118.2961
-2.232875,-1.137616,118.4042
-2.317069,-1.085479,118.5186
-2.370918,-1.063062,118.6426
-2.439497,-1.048569,118.7731
-2.514389,-1.044279,118.9165
-2.582517,-1.02565,119.0212
-2.667153,-1.012581,119.1286
-2.713953,-1.003891,119.2312
-2.79575,-0.997499,119.3567
-2.858603,-1.007681,119.481
-2.922624,-1.031565,119.5838
-2.982449,-1.059022,119.6848
-3.02531,-1.083329,119.81
-3.046556,-1.156809,119.971
-3.036361,-1.208514,120.0722
-3.019762,-1.292848,120.2421
-3.001443,-1.399526,120.4002
-3.000538,-1.461606,120.5021
-2.983958,-1.529153,120.6301
-2.987025,-1.569667,120.7564
-2.976391,-1.617895,120.8702
-2.941821,-1.670582,120.9713
-2.898765,-1.731847,121.1011
-2.865222,-1.772686,121.2046
-2.829002,-1.807891,121.3323
-2.762363,-1.85866,121.4604
-2.71447,-1.889372,121.5644
-2.643719,-1.934189,121.6922
-2.57852,-1.97293,121.8198
-2.508471,-2.00597,121.9428
-2.470876,-2.009555,122.0456
-2.438113,-1.999037,122.1567
-2.357295,-1.968689,122.315
-2.302505,-1.912254,122.441
-2.288189,-1.862734,122.5468
-2.290682,-1.815025,122.6774
-2.290274,-1.774078,122.7839
-2.281617,-1.734656,122.8865
-2.265139,-1.648276,123.0224
-2.266756,-1.596971,123.1253
-2.26001,-1.550278,123.2282
-2.268805,-1.502325,123.3583
-2.309563,-1.425808,123.489
-2.34908,-1.341943,123.6139
-2.376135,-1.287938,123.7173
-2.41386,-1.238663,123.8529
-2.461375,-1.188879,123.9616
-2.512967,-1.11999,124.0842
-2.549067,-1.045166,124.2167
-2.576464,-0.9851592,124.343
-2.606264,-0.9438501,124.4717
-2.634449,-0.9153104,124.5942
-2.654602,-0.9072211,124.7115
-2.674469,-0.8974559,124.8659
-2.683843,-0.8942272,124.9749
-2.701105,-0.8887194,125.1033
-2.718431,-0.8823875,125.2148
-2.717151,-0.8598616,125.317
-2.707541,-0.8412175,125.4216
-2.702945,-0.8364027,125.536
-2.693626,-0.8496191,125.664
-2.683771,-0.8780363,125.7898
-2.681508,-0.8991197,125.9158
-2.691561,-0.9523058,126.0554
-2.709734,-0.9909915,126.184
-2.761479,-1.083436,126.3159
-2.796527,-1.167846,126.4381
-2.823377,-1.251977,126.5433
-2.858396,-1.350356,126.6764
-2.86638,-1.425638,126.8044
-2.86906,-1.511603,126.9212
-2.868136,-1.627361,127.0616
-2.849452,-1.719782,127.1712
-2.833623,-1.868646,127.3363
-2.839445,-1.946826,127.4582
-2.836675,-2.024141,127.5621
-2.830377,-2.067003,127.6679
-2.780562,-2.160041,127.7877
-2.746471,-2.1954,127.8882
-2.632685,-2.301572,128.1447
-2.549361,-2.370758,128.3156
-2.46262,-2.473516,128.5119
-2.403224,-2.508644,128.7263
-2.373074,-2.518416,128.9243
-2.359005,-2.529357,129.0352
-2.340213,-2.536727,129.1586
-2.321384,-2.528387,129.2604
-2.303117,-2.522456,129.362
-2.291317,-2.501204,129.4672
-2.255424,-2.487069,129.5928
-2.254876,-2.472588,129.7523
-2.280115,-2.470073,129.876
-2.279346,-2.469993,130.0151
-2.289706,-2.466393,130.1402
-2.291812,-2.455629,130.2452
-2.299534,-2.431557,130.4035
-2.309827,-2.406845,130.5367
-2.313553,-2.40066,130.6487
-2.322142,-2.387019,130.7493
-2.330636,-2.374006,130.8509
-2.35362,-2.358292,130.9581
-2.37743,-2.344673,131.09
-2.395203,-2.339811,131.2261
-2.412446,-2.333823,131.3528
-2.442532,-2.323983,131.4766
-2.455177,-2.327192,131.5781
-2.456323,-2.340268,131.7009
-2.460587,-2.358103,131.8141
-2.469787,-2.402181,131.9213
-2.485635,-2.461204,132.0509
-2.491997,-2.493574,132.1546
-2.487758,-2.528273,132.2752
-2.498478,-2.562232,132.4148
-2.534945,-2.57719,132.5354
-2.58039,-2.585967,132.6377
-2.621254,-2.605149,132.7646
-2.658667,-2.622587,132.9247
-2.660022,-2.627726,133.0284
-2.659451,-2.628188,133.133
-2.665002,-2.615202,133.2569
-2.665614,-2.60184,133.3864
-2.674381,-2.603914,133.5071
-2.684043,-2.603078,133.6148
-2.698143,-2.609836,133.7366
-2.720719,-2.622617,133.8372
-2.731229,-2.638487,133.9407
-2.724652,-2.645387,134.0412
-2.718671,-2.648936,134.1457
-2.713647,-2.649762,134.2476
-2.707742,-2.662147,134.3534
-2.69604,-2.681903,134.4542
-2.687446,-2.727437,134.5799
-2.677057,-2.771198,134.7038
-2.65994,-2.812771,134.8082
-2.626544,-2.838366,134.9096
-2.594717,-2.861285,135.0199
-2.57012,-2.877146,135.1566
-2.538329,-2.901162,135.2819
-2.533013,-2.928801,135.4113
-2.522566,-2.947102,135.5121
-2.517684,-2.977294,135.6257
-2.506192,-3.032902,135.7277
-2.490751,-3.074,135.8624
-2.471554,-3.103577,135.9844
-2.427786,-3.149068,136.1485
-2.409936,-3.160438,136.2629
-2.370943,-3.185742,136.3911
-2.345974,-3.210837,136.5113
-2.306218,-3.253867,136.64
-2.273197,-3.297944,136.7671
-2.224692,-3.356041,136.8976
-2.187959,-3.395247,137.0282
-2.119304,-3.429223,137.1901
-2.064255,-3.443567,137.2908
-2.000175,-3.463634,137.3989
-1.934858,-3.463506,137.523
