position.x,position.z,time,score
-0.08076392,0.1357249,20.35235,1
-0.04654901,0.1512925,20.49421,1
0.02173784,0.164965,20.62636,1
0.08413526,0.1733208,20.74853,1
0.1299354,0.1693005,20.87396,1
0.1680467,0.1600994,20.99982,1
0.1855205,0.1297228,21.1205,1
0.1975777,0.09921288,21.24579,1
0.2241488,0.05019551,21.36167,1
0.2455705,0.02529027,21.4916,1
0.2537458,0.0315666,21.62062,1
0.2760612,0.06345081,21.75108,1
0.2846335,0.09212712,21.87241,1
0.2806699,0.1336031,21.99685,1
0.2618853,0.1379869,22.1191,1
0.2352845,0.1462581,22.24184,1
0.2250868,0.1556615,22.36693,1
0.216449,0.1695746,22.50238,1
0.2153447,0.2198281,22.63744,1
0.2183839,0.3130123,22.77154,1
0.2265448,0.3770427,22.90526,2
0.2327115,0.4187691,23.04358,2
0.2321232,0.4561725,23.20155,2
0.231147,0.4866332,23.32879,2
0.2295872,0.5451705,23.4547,3
0.2478116,0.6710001,23.58622,3
0.257765,0.7398282,23.71016,3
0.2582472,0.7834873,23.83689,3
0.244652,0.8042821,23.95818,4
0.2381645,0.7989902,24.07971,4
0.252879,0.7921464,24.2127,4
0.2497606,0.7906967,24.35749,4
0.2575778,0.8169206,24.47371,4
0.2686884,0.84819,24.61411,4
0.274088,0.8525121,24.73812,5
0.2777272,0.8525339,24.86567,5
0.2884586,0.8557434,24.99089,5
0.2919902,0.8753323,25.11475,5
0.2865793,0.8943942,25.23666,5
0.2888796,0.905093,25.37217,5
0.2742374,0.8884264,25.50179,5
0.2460213,0.8462608,25.63419,5
0.2252586,0.7097266,25.77018,5
0.2229392,0.5931448,25.89916,5
0.2237383,0.5202872,26.0167,5
0.2105861,0.4753505,26.1543,6
0.1857609,0.4007307,26.27424,6
0.1668834,0.2897146,26.41419,6
0.1723005,0.1825942,26.53652,6
0.1699994,0.1024668,26.65303,6
0.1373673,0.06242767,26.78758,6
0.1173039,0.03565845,26.91117,6
0.1035229,0.004014377,27.03649,6
0.09131082,-0.06521641,27.16728,6
0.09943391,-0.09922032,27.29128,6
0.1105611,-0.1181035,27.4319,6
0.1183021,-0.1114055,27.55644,6
0.118262,-0.1013717,27.68146,6
0.140847,-0.0369532,27.86851,6
0.1502779,-0.0003597646,28.08079,6
0.1453477,0.02634184,28.19358,6
0.1321527,0.07442514,28.30031,6
0.1280379,0.09450473,28.40839,6
0.1348746,0.1537801,28.51828,6
0.1975112,0.2612514,28.7653,6
0.2373593,0.3687555,28.90524,7
0.2447808,0.4978368,29.07078,7
0.2424915,0.6185968,29.29126,7
0.2433204,0.6333772,29.39418,7
0.2572234,0.7351344,29.51787,7
0.2819025,0.8320866,29.68369,7
0.2822686,0.9319039,29.91559,7
0.2538905,1.013157,30.1407,7
0.2348394,1.070178,30.34323,7
0.2402184,1.115803,30.49779,7
0.24236,1.133798,30.60974,7
0.2284839,1.161493,30.72761,7
0.2066041,1.161153,30.84848,7
0.2078501,1.176018,30.98019,7
0.2216824,1.183794,31.12707,7
0.2235593,1.185258,31.26408,8
0.2249092,1.177206,31.38646,8
0.2281255,1.180519,31.50501,9
0.2195889,1.174412,31.64899,9
0.2014724,1.17342,31.77829,10
0.1912235,1.177287,31.90689,10
0.1776899,1.186718,32.03809,10
0.1496064,1.210429,32.16742,10
0.1217199,1.205744,32.29971,11
0.08850616,1.209198,32.42972,11
-0.04126961,1.209264,32.56111,11
-0.1321642,1.211073,32.68124,12
-0.2160734,1.20727,32.80357,12
-0.2949756,1.187963,32.93397,13
-0.3888479,1.125689,33.06061,13
-0.4256057,1.087558,33.19385,14
-0.4546461,1.041941,33.31995,14
-0.484716,0.9499457,33.4458,15
-0.4752524,0.9078991,33.56817,15
-0.4358405,0.8233142,33.7016,15
-0.3973472,0.763696,33.83553,15
-0.3505036,0.685299,33.96171,15
-0.3109022,0.6623795,34.09013,15
-0.2819134,0.6400077,34.20992,15
-0.2588429,0.5610707,34.33443,15
-0.2506757,0.5120058,34.45213,15
-0.2342147,0.4333646,34.57816,15
-0.1929672,0.36254,34.73019,15
-0.1540912,0.2962799,34.8626,15
-0.1298764,0.2536972,34.98463,15
-0.1021224,0.2107812,35.11845,15
-0.09630479,0.1839301,35.25099,15
-0.08438086,0.1814262,35.37917,15
-0.06533777,0.2063691,35.50744,15
-0.04572445,0.2488338,35.63103,15
-0.01865996,0.3230754,35.76038,15
-0.01438668,0.4107328,35.88416,15
-0.01449621,0.4490696,36.00821,15
0.01006005,0.4942923,36.13098,15
0.01902408,0.5514916,36.25172,15
0.02297218,0.5775307,36.37593,15
0.008311425,0.6190595,36.5066,15
-0.06317393,0.707827,36.64713,15
-0.1249487,0.7651736,36.78489,15
-0.1456576,0.7745055,36.91336,15
-0.1589784,0.7764664,37.02998,16
-0.1844116,0.7826561,37.14994,16
-0.2058112,0.7668792,37.28706,17
-0.2243901,0.7344904,37.40787,17
-0.2195173,0.7212297,37.53708,17
-0.1874572,0.675786,37.68118,17
-0.1343691,0.6035603,37.80056,18
-0.09698541,0.5551701,37.92912,19
-0.06347693,0.5358471,38.04813,19
0.01488285,0.5596334,38.1746,19
0.05536248,0.5838507,38.29509,20
0.1015406,0.6342865,38.4247,21
0.2036532,0.7018307,38.55319,21
0.3106445,0.7446433,38.67512,21
0.3688548,0.743883,38.82212,26
0.4666846,0.7645963,38.94535,31
0.5206242,0.8122847,39.06635,31
0.5620703,0.8424061,39.18617,31
0.5960922,0.883706,39.30432,31
0.6366192,0.922025,39.42239,31
0.6473498,0.9518998,39.55573,36
0.6086046,1.003216,39.6844,41
0.5658681,1.025117,39.80933,41
0.5639455,1.035827,39.93604,46
0.598823,1.046787,40.05729,46
0.6174768,1.04113,40.18263,46
0.6279403,1.078848,40.30355,46
0.6275225,1.104283,40.43923,46
0.6140804,1.170761,40.56795,51
0.6250479,1.238251,40.69697,51
0.641494,1.261975,40.8157,51
0.7120339,1.309217,40.93697,51
0.781943,1.374817,41.06378,51
0.8031126,1.423815,41.18686,51
0.8235672,1.467839,41.31484,51
0.8685952,1.530688,41.44775,56
0.8546313,1.555743,41.56889,56
0.9072143,1.58181,41.69718,56
0.9249144,1.586622,41.82176,56
0.9102454,1.563313,41.94005,56
0.8830916,1.523788,42.06508,56
0.8352407,1.504119,42.18938,56
0.7559309,1.506628,42.31284,56
0.6182266,1.524722,42.45645,56
0.4718234,1.587605,42.58888,56
0.3980391,1.634469,42.72014,56
0.3478586,1.651531,42.82674,56
0.2702409,1.680142,42.95362,61
0.2028215,1.734037,43.07056,61
0.1816214,1.751768,43.18213,61
0.1066341,1.828945,43.30992,61
0.04731546,1.867869,43.43422,61
-0.03189021,1.898145,43.62202,66
-0.03905211,1.907779,43.73448,66
-0.01774056,1.962781,43.84532,66
0.05668922,2.063764,44.06831,66
0.1700236,2.171807,44.35487,71
0.1928529,2.198395,44.47589,76
0.2554272,2.289018,44.6298,81
0.2956831,2.309589,44.74239,81
0.372745,2.343009,44.90463,86
0.385094,2.350615,45.00756,91
0.4349214,2.397248,45.1214,91
0.441541,2.41415,45.23457,91
0.4596495,2.475016,45.45573,96
0.459811,2.472657,45.57088,96
0.4739383,2.459327,45.74269,101
0.5449681,2.436237,45.96047,101
0.5609004,2.399498,46.0781,101
0.5437483,2.321237,46.3151,106
0.5882395,2.240964,46.53645,106
0.6586443,2.243847,46.7529,106
0.6932344,2.254622,46.88728,106
0.7146916,2.416144,47.11162,111
0.7467173,2.498518,47.34944,116
0.7441937,2.49811,47.45694,121
0.7560843,2.515052,47.57105,121
0.7667028,2.518964,47.69922,126
0.7470087,2.569564,47.94045,131
0.7374619,2.568254,48.05042,131
0.6735884,2.555525,48.16966,131
0.6692019,2.547715,48.29112,131
0.5128772,2.419843,48.42506,131
0.4743604,2.368932,48.54586,131
0.4597984,2.359643,48.64707,131
0.3760049,2.327117,48.75472,131
0.3693531,2.315729,48.85958,131
0.3153862,2.272028,48.96631,131
0.3266638,2.213357,49.20439,131
0.3436946,2.200464,49.33484,131
0.3689216,2.162933,49.46931,131
0.3794366,2.157348,49.59875,132
0.4040693,2.133834,49.72482,132
0.468244,2.149586,49.8525,132
0.5100637,2.152879,49.97292,132
0.6245182,2.165529,50.09698,132
0.6654192,2.191819,50.23419,132
0.7202885,2.257958,50.35525,132
0.7329397,2.280227,50.47643,132
0.7823914,2.336907,50.6166,132
0.8432001,2.372304,50.74918,132
0.9094213,2.39609,50.86831,132
0.9485869,2.41376,50.99498,132
0.971806,2.404409,51.1252,132
0.9857085,2.38194,51.25998,132
0.9944314,2.379894,51.38088,132
0.9979413,2.414396,51.52173,133
1.023813,2.469653,51.64511,133
1.017691,2.495508,51.76971,134
0.9810895,2.527308,51.90016,134
0.9158453,2.559686,52.03463,135
0.845287,2.580324,52.16362,135
0.7582403,2.603264,52.2975,135
0.6829245,2.642233,52.41609,136
0.616388,2.679416,52.55061,136
0.5213103,2.760121,52.66862,137
0.4450388,2.799475,52.79554,137
0.3852063,2.816832,52.92276,137
0.2935779,2.829573,53.03615,137
0.1403632,2.838713,53.16909,137
0.04284247,2.843032,53.2961,137
-0.06307367,2.855315,53.41427,137
-0.1589614,2.860263,53.54098,137
-0.2047762,2.848541,53.6825,137
-0.2996388,2.80411,53.81733,137
-0.3494115,2.793231,53.95115,137
-0.4014795,2.790339,54.07309,137
-0.4542958,2.772592,54.19153,137
-0.521197,2.77791,54.31573,137
-0.6059585,2.762182,54.44152,137
-0.6512436,2.75648,54.57597,137
-0.6801997,2.768641,54.70033,137
-0.7036667,2.763011,54.82677,137
-0.7399331,2.741955,54.95017,138
-0.8090963,2.640413,55.07666,138
-0.8855574,2.552109,55.19948,138
-0.954597,2.47503,55.32127,139
-1.047174,2.422192,55.45224,139
-1.151819,2.384175,55.58739,140
-1.244304,2.371836,55.71754,140
-1.286963,2.364977,55.83852,140
