position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance
-3.952607,-4.17037,55.5146,1,5.975526,0,5.109599
-3.96437,-4.150175,55.62135,2,6.084926,0,5.104703
-3.96893,-4.136113,55.72319,2,6.189049,0,5.098642
-3.972898,-4.110346,55.82854,2,6.292888,0,5.088847
-3.982367,-4.077084,55.93027,2,6.394781,0,5.081491
-4.002886,-4.021087,56.04912,2,6.504486,0,5.075642
-4.04186,-3.958845,56.15263,2,6.616413,0,5.068324
-4.074358,-3.931149,56.26328,2,6.722815,0,5.058216
-4.072763,-3.923659,56.3815,2,6.83848,0,5.050925
-4.073981,-3.926015,56.50174,2,6.95582,0,5.044886
-4.059317,-3.939131,56.63607,2,7.081302,0,5.034601
-4.061158,-3.945699,56.78053,3,7.221626,0,5.024509
-4.068109,-3.93866,56.90843,3,7.351656,0,5.012862
-4.092731,-3.872241,57.06817,3,7.506763,0,5.002951
-4.142404,-3.771658,57.24984,4,7.643682,0,4.990349
-4.155816,-3.744222,57.35302,4,7.764599,0,4.987707
-4.17695,-3.724358,57.50174,4,7.946491,0,4.973609
-4.182799,-3.719646,57.67141,4,8.094701,0,4.96343
-4.171043,-3.714709,57.81264,5,8.256558,0,4.953388
-4.163176,-3.709524,57.95221,5,8.403149,0,4.946184
-4.136193,-3.706872,58.09418,5,8.542542,0,4.933164
-4.12199,-3.703252,58.22865,5,8.676871,0,4.930559
-4.078303,-3.684552,58.37946,5,8.825929,0,4.920618
-4.039741,-3.652937,58.5264,5,8.965561,0,4.90605
-4.008389,-3.631566,58.67569,5,9.105577,0,4.895963
-3.985236,-3.633272,58.82512,5,9.265663,0,4.880951
-3.96624,-3.647898,58.95572,5,9.403667,0,4.871086
-3.953928,-3.665421,59.0715,5,9.530287,0,4.863775
-3.928482,-3.722827,59.2072,5,9.649612,0,4.853718
-3.922051,-3.762926,59.3334,5,9.790954,0,4.848167
-3.925678,-3.804074,59.45905,5,9.907838,0,4.840883
-3.92986,-3.836529,59.59864,5,10.03747,0,4.826952
-3.92872,-3.845726,59.73798,5,10.19274,0,4.821116
-3.906786,-3.86352,59.8613,5,10.31411,0,4.813946
-3.893883,-3.878274,59.99289,5,10.44305,0,4.803957
-3.86062,-3.886802,60.12176,5,10.57337,0,4.794091
