position.x,position.z,time,score,trackingTimeP1,trackingTimeP2,distance
0.9836878,1.754868,32.52705,1,6.265943,0,5.805797
1.162223,1.655168,32.64161,1,6.378189,0,5.791682
1.154945,1.653656,32.75128,1,6.492081,0,5.782878
1.14444,1.637581,32.86993,2,6.611911,0,5.76902
1.137373,1.630578,32.98893,2,6.72826,0,5.759633
1.124892,1.608314,33.10308,2,6.841831,0,5.743474
1.105293,1.57813,33.21662,2,6.956179,0,5.730712
1.066617,1.515174,33.32806,2,7.071272,0,5.715791
1.027642,1.442691,33.4407,2,7.182938,0,5.691341
0.9942943,1.355832,33.56688,2,7.303611,0,5.673767
0.9726294,1.302157,33.68183,2,7.420952,0,5.662298
0.9422878,1.243791,33.82754,3,7.568663,0,5.636557
0.9283931,1.222795,33.94533,3,7.68769,0,5.626188
0.8914946,1.188901,34.06131,4,7.797225,0,5.613277
0.8531294,1.180884,34.16789,4,7.911126,0,5.598357
0.8011621,1.180874,34.29555,5,8.034473,0,5.586741
0.7646802,1.194368,34.40665,5,8.146956,0,5.570788
0.7282132,1.207391,34.52963,5,8.266801,0,5.558865
0.7074471,1.212939,34.64085,6,8.385164,0,5.544227
0.6904689,1.222508,34.75341,6,8.496332,0,5.528522
0.684513,1.232812,34.86739,6,8.60544,0,5.517709
0.6872152,1.254823,34.99081,7,8.72326,0,5.502643
0.6787106,1.283578,35.11233,7,8.851464,0,5.487507
0.6694183,1.330858,35.2292,7,8.966452,0,5.47263
0.6585512,1.356829,35.34474,7,9.086227,0,5.459576
0.5999354,1.457041,35.49047,7,9.192451,0,5.441998
0.5701474,1.557565,35.60302,7,9.192451,0,5.426445
0.5485464,1.669123,35.73007,7,9.192451,0,5.415154
0.5257196,1.74088,35.84165,7,9.192451,0,5.400271
0.5230166,1.7897,35.95929,7,9.192451,0,5.387577
0.5493568,1.82287,36.07138,7,9.192451,0,5.371913
0.566148,1.837515,36.18514,7,9.192451,0,5.358613
0.5916922,1.854397,36.30587,7,9.192451,0,5.339927
0.6189086,1.883002,36.42429,7,9.192451,0,5.329245
0.6409664,1.904756,36.54481,7,9.192451,0,5.314438
0.6531935,1.925335,36.64807,7,9.192451,0,5.301746
0.6557497,1.936528,36.7714,7,9.192451,0,5.283969
0.6642203,1.950148,36.89156,7,9.192451,0,5.272733
0.6712828,1.965205,37.01059,7,9.192451,0,5.276046
0.6647829,1.97593,37.12063,7,9.192451,0,5.262568
